Performance Of Women Candidates,,,,,,,,,,,
Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors
Champdani,187,3,RAJ KUMARI SHAW,N,BJP,23383,184262,9.7513678521385199,12.690082599776407,FD,239792
Chunchura,190,2,CHAMPA CHAKRABORTY,N,BJP,25120,241538,8.5229971635248294,10.400019872649438,FD,294732
Chanditala,194,3,SWATI  KHANDOKER,S,AITC,91874,190300,38.219840837330423,48.27850761954808,W,240383
Dhanekhali,197,1,ASIMA PATRA,S,AITC,125298,217750,50.142265442103366,57.542135476463827,W,249885
Panskura Purba,204,1,APARNA LASKAR,N,BJP,10041,182559,4.6534584636774419,5.5001396808702943,FD,215775
Panskura paschim,205,3,PHIROJA BIBI,S,AITC,92427,209166,37.467924421220758,44.18834801067095,W,246683
Mahisadal,208,5,MASLEMA BEGAM,U,LJP,866,197146,0.39124974022101539,0.43926835948992121,FD,221342
Haldia,209,3,MADHURIMA MANDAL,S,AITC,79837,201981,35.742202364696979,39.526985211480287,L,223369
Haldia,209,1,TAPASI MONDAL,N,CPM,101330,201981,45.364397029131169,50.168085116916942,W,223369
Kanthi Uttar,213,4,BANASRI MAITY,S,AITC,103783,207184,44.055558149703067,50.092188585991195,W,235573
Egra,218,2,MINATI SUR,N,BJP,13002,220890,4.9959078281518368,5.8861876952329215,FD,260253
Jhargram,222,6,CHUNIBALA HANSDA,U,JKP(N),44005,180537,20.550408159453049,24.374504949124002,L,214132
Pingla,227,1,ANTARA BHATTACHARYYA,N,BJP,16665,207259,7.2561894229010822,8.0406640966134155,FD,229666
Debra,229,3,SELIMA KHATUN (BIBI),S,AITC,90773,189271,42.742049403410967,47.959275324798831,W,212374
Daspur,230,2,MAMATA BHUNIA,S,AITC,113603,215096,41.409111951097714,52.815022129653734,W,274343
Ghatal,231,1,ANJUSHREE DOLUI,N,BJP,10468,216371,4.0705700275700627,4.8379866063381876,FD,257163
Chandrakona,232,5,TANUSHRI DOLUI,U,SUCI,1485,225151,0.59324302190405043,0.65955736372478913,FD,250319
Chandrakona,232,1,CHHAYA DOLAI,S,AITC,117172,225151,46.809071624607,52.041518802936693,W,250319
Keshpur,235,3,SEULI SAHA,S,AITC,146579,204641,62.99541864003232,71.627386496352159,W,232682
Medinipur,236,4,SOVA DAS,U,AMB,2171,213083,0.86443053498335642,1.0188518089195291,FD,251148
Binpur,237,4,BIRBAHA HANSDA,U,JKP(N),7094,173955,3.443187885259428,4.0780661665373232,FD,206030
Balarampur,239,2,BHARATI MUDI,N,BSP,1860,174594,0.88913959013533095,1.0653287054537957,FD,209191
Purulia,242,8,ANITA MAHATO,Z,IND,488,182528,0.21431426024250888,0.26735624123422158,FD,227703
Manbazar,243,5,SUNITI MUDI,U,SUCI,1356,192186,0.59306429674208261,0.70556648247010711,FD,228643
Manbazar,243,3,SANDHYA RANI TUDU,S,AITC,93642,192186,40.95555079315789,48.724672973057345,W,228643
Manbazar,243,1,IPIL MURMU,N,CPM,83967,192186,36.724063277686177,43.690487340388998,L,228643
Manbazar,243,2,GOURI SINGH SARDAR,N,BJP,8882,192186,3.8846586162707801,4.6215645260320732,FD,228643
Chhatna,248,6,PANMANI BESRA,U,JDP,835,179069,0.37742501220416208,0.46630069973027161,FD,221236
Ranibandh,249,2,JYOTSNA MANDI,S,AITC,92181,194129,39.838452462757203,47.484404699967548,W,231387
Ranibandh,249,3,DEBLINA HEMBRAM,N,CPM,68868,194129,29.763124116739487,35.475379773243567,L,231387
Bankura,252,2,MINATI MISRA,S,AITC,82457,196657,33.727365316732175,41.929349069700031,L,244481
Bankura,252,1,DARIPA SHAMPA,N,INC,83486,196657,34.148256919760634,42.452595127557117,W,244481
Barjora,253,4,INDRANI SARDAR,U,BMUP,2050,200084,0.88587738592708143,1.0245696807340916,FD,231409
Sonamukhi,258,3,DIPALI SAHA,S,AITC,77406,187035,36.830710815684668,41.385836875451119,L,210167
Sonamukhi,258,4,DEBJANI ROY,N,BJP,15118,187035,7.1933272112177455,8.0829791215547893,FD,210167
Khandaghosh,259,2,ASIMA ROY,N,CPM,86949,196477,39.437839897310752,44.254034823414443,L,220471
Memari,265,3,BEGUM NARGIS,S,AITC,94406,203674,40.471393173458623,46.351522531103626,W,233266
Memari,265,6,SRABANTI MAJUMDER,Z,IND,2344,203674,1.0048614028619687,1.15085872521775,FD,233266
Bardhaman Uttar,266,1,APARNA SAHA,N,CPM,91381,216933,37.184991068049662,42.124065955848117,L,245747
Purbasthali Uttar,269,1,JYOTSNA GOLDAR,N,BSP,2193,194920,0.97245379403313359,1.1250769546480608,FD,225512
Katwa,270,3,SHYAMA MAJUMDAR,N,INC,90578,204191,37.240568364963984,44.359447771939017,L,243224
Ausgram,273,5,KALPANA ANKURE,Z,IND,2263,196899,1.0058850721854775,1.1493202098537829,FD,224976
Pandabeswar,275,5,MOYNA RUIDAS,U,BMUP,1323,152325,0.69281524926686222,0.86853766617429828,FD,190960
Durgapur paschim,277,6,SHYAMALI BANERJEE (ROY CHOWDHURY),U,SUCI,1917,199375,0.78160038488824379,0.96150470219435735,FD,245266
Raniganj,278,5,MAMONI ORANG,U,BMUP,2081,177207,0.90742993690287754,1.1743328423820729,FD,229329
Raniganj,278,2,BANO NARGIS,S,AITC,62610,177207,27.301387962272543,35.33156139430158,L,229329
Jamuria,279,1,JAHANARA KHAN,N,CPM,67214,155293,33.758406452941443,43.282053923872937,W,199103
Asansol Uttar,281,4,DIPALI RUIDAS,U,BMUP,2178,183666,0.87294239301646082,1.1858482244944628,FD,249501
Asansol Uttar,281,1,INDRANI MISHRA,N,INC,31892,183666,12.782313497741493,17.364128363442337,L,249501
Barbani,283,3,SHIPRA MUKHERJEE,N,CPM,53415,164376,25.825931817412624,32.495619798510731,L,206827
Nanoor,287,3,SHYAMALI PRADHAN,N,CPM,104374,208464,41.423020903199173,50.068117276843957,W,251971
Sainthia,289,2,NILABATI SAHA,S,AITC,103376,198163,45.340350877192982,52.167155321629167,W,228000
Sainthia,289,3,PIYA SAHA,N,BJP,24029,198163,10.539035087719299,12.125876172645752,FD,228000
Mayureswar,290,3,LOCKET CHATTERJEE,N,BJP,35329,183792,16.633395794687335,19.222273004265691,L,212398
Hansan,292,4,RUPARANI MONDAL,N,BJP,7662,185473,3.4873083277578272,4.1310595073137328,FD,219711
Murarai,294,4,HAYATUNNINSH BIBI,N,BJP,5345,199235,2.2836805496214514,2.6827615629783921,FD,234052
