Detailed Results ,,,,,,,,,,,
Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
4,Cooch Behar Dakshin,AMITA DAS,F,49,GEN,AMB,2702,1,2703,213162,179173
4,Cooch Behar Dakshin,None of the Above,NOTA,2474,15,2489,213162,179173
4,Cooch Behar Dakshin,NAZMA KHANDAKAR,F,56,GEN,SUCI,1667,11,1678,213162,179173
4,Cooch Behar Dakshin,AKIK HOSSAIN CHOWDHURY,M,46,GEN,KPPU,1427,0,1427,213162,179173
5,Sitalkuchi,HITEN BARMAN,M,66,SC,AITC,101360,287,101647,261348,230077
5,Sitalkuchi,NAMADIPTI ADHIKARY,F,48,SC,CPM,85746,418,86164,261348,230077
5,Sitalkuchi,BAREN CHANDRA BARMAN,M,42,SC,BJP,27325,22,27347,261348,230077
5,Sitalkuchi,PREMANANDA BARMAN,M,45,SC,KPPU,4953,0,4953,261348,230077
5,Sitalkuchi,JAGADISH ADHIKARI,M,49,SC,SUCI,2267,0,2267,261348,230077
5,Sitalkuchi,GIRINDRA NATH BARMAN,M,73,SC,BSP,2232,3,2235,261348,230077
5,Sitalkuchi,None of the Above,NOTA,2103,3,2106,261348,230077
5,Sitalkuchi,SUBODH BARMAN,M,59,SC,AMB,1838,0,1838,261348,230077
5,Sitalkuchi,FULKUMAR BARMAN,M,46,SC,IND,1520,0,1520,261348,230077
6,Sitai,JAGADISH CHANDRA BARMA BASUNIA,M,52,SC,AITC,103035,375,103410,262565,218226
6,Sitai,KESHAB CHANDRA RAY,M,62,SC,INC,77927,232,78159,262565,218226
6,Sitai,BHABEN CHANDRA RAY,M,53,SC,BJP,27789,20,27809,262565,218226
6,Sitai,None of the Above,NOTA,2474,2,2476,262565,218226
6,Sitai,TAPAS BARMAN,M,33,SC,AMB,2364,0,2364,262565,218226
6,Sitai,MANI MAHANTA,M,56,SC,BSP,2358,1,2359,262565,218226
6,Sitai,ANIL CHANDRA BARMAN ROY,M,56,SC,SUCI,1648,1,1649,262565,218226
7,Dinhata,UDAYAN GUHA,M,61,GEN,AITC,100122,610,100732,273294,223637
7,Dinhata,AKSHAY THAKUR,M,66,GEN,AIFB,78247,692,78939,273294,223637
7,Dinhata,SACHINDRA NATH ADHIKARI,M,59,SC,BJP,25542,56,25598,273294,223637
7,Dinhata,DEBENDRA NATH ROY,M,56,SC,BSP,5842,0,5842,273294,223637
7,Dinhata,DR. MD. FAZLE HAQUE,M,80,GEN,IND,4006,4,4010,273294,223637
7,Dinhata,None of the Above,NOTA,2612,7,2619,273294,223637
7,Dinhata,AMINAL HOQUE,M,38,GEN,WPOI,2217,3,2220,273294,223637
7,Dinhata,SABITRI BASUNIYA (ROY),F,40,SC,IND,2170,0,2170,273294,223637
7,Dinhata,ANITA BARMAN,F,39,SC,IND,777,0,777,273294,223637
7,Dinhata,PRADIP ROY,M,40,SC,SUCI,727,3,730,273294,223637
8,Natabari,RABINDRA NATH GHOSH,M,60,GEN,AITC,92655,602,93257,223747,199597
8,Natabari,TAMSER ALI,M,62,GEN,CPM,76265,835,77100,223747,199597
8,Natabari,ALI HOSSAIN,M,46,GEN,BJP,21462,62,21524,223747,199597
8,Natabari,TAPAN BARMAN,M,43,SC,KPPU,3204,0,3204,223747,199597
8,Natabari,BABLA DEB,M,27,GEN,AMB,1677,1,1678,223747,199597
8,Natabari,None of the Above,NOTA,1562,11,1573,223747,199597
8,Natabari,RABIA SARKAR,F,50,GEN,SUCI,1258,3,1261,223747,199597
9,Tufanganj,FAZAL KARIM MIAH,M,65,GEN,AITC,84555,497,85052,213560,192402
9,Tufanganj,SHYAMAL CHOUDHURY,M,70,GEN,INC,68936,846,69782,213560,192402
9,Tufanganj,BIVAS SEN ISHORE,M,48,SC,BJP,29991,57,30048,213560,192402
9,Tufanganj,None of the Above,NOTA,2492,6,2498,213560,192402
9,Tufanganj,MANOJ KUMAR MANDAL,M,39,GEN,IND,1957,1,1958,213560,192402
9,Tufanganj,NUBASH BARMAN,M,53,SC,KPPU,1744,0,1744,213560,192402
9,Tufanganj,SANTANA DATTA,F,52,GEN,SUCI,1315,5,1320,213560,192402
10,Kumargram,JAMES KUJUR,M,59,ST,AITC,77437,231,77668,243359,208406
10,Kumargram,MANOJ KUMAR ORAON,M,35,ST,RSP,71123,392,71515,243359,208406
10,Kumargram,LEOS KUJUR,M,32,ST,BJP,45103,34,45137,243359,208406
10,Kumargram,None of the Above,NOTA,5873,1,5874,243359,208406
10,Kumargram,VINAY KR. MINJ,M,34,ST,JMM,3296,0,3296,243359,208406
10,Kumargram,ELIASH NARJINARY,M,63,ST,BSP,2736,1,2737,243359,208406
10,Kumargram,RAM ORAON,M,50,ST,SUCI,2179,0,2179,243359,208406
11,Kalchini,WILSON CHAMPRAMARY,M,39,ST,AITC,61996,65,62061,218280,177356
11,Kalchini,BISHAL LAMA,M,34,ST,BJP,60466,84,60550,218280,177356
11,Kalchini,AVIJIT NARJINARY,M,43,ST,INC,14196,24,14220,218280,177356
11,Kalchini,JOHN PHILIP XALXO,M,61,ST,RSP,11886,19,11905,218280,177356
11,Kalchini,BISWAJIT MINJ,M,37,ST,IND,7421,37,7458,218280,177356
11,Kalchini,ATUL SUBA,M,61,ST,IND,6495,19,6514,218280,177356
11,Kalchini,None of the Above,NOTA,4519,5,4524,218280,177356
11,Kalchini,PANKAJ TIRKEY,M,29,ST,JMM,2550,1,2551,218280,177356
11,Kalchini,SUJIT MAHALI,M,32,ST,IND,2453,0,2453,218280,177356
11,Kalchini,RAKESH KIRAN INDWAR,M,35,ST,IND,1951,3,1954,218280,177356
11,Kalchini,SUKHAN MUNDA,M,36,ST,SUCI,1148,0,1148,218280,177356
11,Kalchini,JAY BHADRA KARJEE,M,57,ST,IND,1087,0,1087,218280,177356
11,Kalchini,USHA TAMANG,F,43,ST,IND,931,0,931,218280,177356
12,Alipurduars,SOURAV CHAKRABORTY(GHUTISH),M,43,GEN,AITC,89122,573,89695,236134,203446
12,Alipurduars,BISWA RANJAN SARKAR,M,67,GEN,INC,77007,730,77737,236134,203446
12,Alipurduars,KUSHAL CHATTERJEE (TATU),M,39,GEN,BJP,20067,31,20098,236134,203446
12,Alipurduars,NIRMAL DAS,M,72,GEN,RSP,7292,32,7324,236134,203446
12,Alipurduars,None of the Above,NOTA,2969,11,2980,236134,203446
12,Alipurduars,ALOKESH DAS,M,41,SC,SUCI,2306,2,2308,236134,203446
12,Alipurduars,DALENDRA NATH RAY,M,62,SC,AMB,1341,0,1341,236134,203446
12,Alipurduars,SANTOSH KUMAR BALO,M,60,GEN,IND,987,2,989,236134,203446
12,Alipurduars,GOURI ROY,F,31,SC,BSP,974,0,974,236134,203446
13,Falakata,ANIL ADHIKARI,M,66,SC,AITC,86272,375,86647,227176,197940
13,Falakata,KSHITISH CHANDRA RAY,M,45,SC,CPM,69196,612,69808,227176,197940
13,Falakata,NARAYAN CHANDRA MONDAL,M,46,SC,BJP,30613,26,30639,227176,197940
13,Falakata,None of the Above,NOTA,3808,4,3812,227176,197940
13,Falakata,BISHNUPADA ROY,M,36,SC,IND,3004,3,3007,227176,197940
13,Falakata,PARITOSH CH. ROY,M,45,SC,IND,2016,0,2016,227176,197940
13,Falakata,TARANI ROY,M,58,SC,SUCI,1342,2,1344,227176,197940
13,Falakata,NARESH CHANDRA BARMAN,M,66,SC,IND,667,0,667,227176,197940
14,Madarihat,MANOJ TIGGA,M,43,ST,BJP,66855,134,66989,191686,152301
14,Madarihat,PADAM LAMA,M,54,ST,AITC,44799,152,44951,191686,152301
14,Madarihat,KUMARI KUJUR,F,67,ST,RSP,29731,154,29885,191686,152301
14,Madarihat,None of the Above,NOTA,5065,3,5068,191686,152301
14,Madarihat,PADAM ORAON,M,37,ST,JMM,3088,1,3089,191686,152301
14,Madarihat,SUDHIST BARAIK,M,39,ST,SUCI,2319,0,2319,191686,152301
15,Dhupguri,MITALI ROY,F,43,SC,AITC,90603,178,90781,237427,208734
15,Dhupguri,MAMATA ROY,F,49,SC,CPM,71102,415,71517,237427,208734
15,Dhupguri,AGUN ROY,M,36,SC,BJP,36141,26,36167,237427,208734
15,Dhupguri,None of the Above,NOTA,3259,3,3262,237427,208734
15,Dhupguri,MADHUSUDAN ROY,M,40,SC,KPPU,2644,0,2644,237427,208734
15,Dhupguri,NIRANJAN ROY,M,37,SC,SUCI,2361,0,2361,237427,208734
15,Dhupguri,BEDDYUTI ROY,M,47,SC,BSP,2002,0,2002,237427,208734
16,Maynaguri,ANANTA DEB ADHIKARI,M,64,SC,AITC,100588,249,100837,236663,210728
16,Maynaguri,CHHAYA DEY (ROY),F,58,SC,RSP,65470,460,65930,236663,210728
16,Maynaguri,BISWAJIT ROY,M,37,SC,BJP,30708,34,30742,236663,210728
16,Maynaguri,None of the Above,NOTA,4362,6,4368,236663,210728
16,Maynaguri,KAUSIK ROY,M,30,SC,KPPU,3855,1,3856,236663,210728
16,Maynaguri,AMIT KUMAR SARKAR,M,26,SC,BSP,1818,0,1818,236663,210728
16,Maynaguri,RUPESWAR RAY,M,56,SC,CPI(ML)(L),1700,1,1701,236663,210728
16,Maynaguri,BINAY SARKAR,M,45,SC,AMB,1476,0,1476,236663,210728
17,Jalpaiguri,SUKHBILAS BARMA,M,70,SC,INC,92933,1620,94553,241740,208216
17,Jalpaiguri,DHARTTIMOHAN ROY,M,59,SC,AITC,88526,870,89396,241740,208216
17,Jalpaiguri,TAPAN ROY,M,46,SC,BJP,15977,52,16029,241740,208216
17,Jalpaiguri,None of the Above,NOTA,3364,19,3383,241740,208216
17,Jalpaiguri,HARIBHAKTA SARDAR,M,61,SC,SUCI,2581,5,2586,241740,208216
17,Jalpaiguri,GANESH MANDAL,M,49,SC,BSP,2264,5,2269,241740,208216
18,Rajganj,KHAGESWAR ROY,M,65,SC,AITC,89424,361,89785,216425,194531
18,Rajganj,SATYENDRA NATH MONDAL,M,53,SC,CPM,74662,446,75108,216425,194531
18,Rajganj,PRAKASH CHANDRA ROY,M,29,SC,BJP,17796,15,17811,216425,194531
18,Rajganj,None of the Above,NOTA,3523,2,3525,216425,194531
18,Rajganj,HRIDAY ROY,M,37,SC,KPPU,3468,3,3471,216425,194531
18,Rajganj,ARUN BARMAN,M,57,SC,SUCI,3021,6,3027,216425,194531
18,Rajganj,RAJAT ROY,M,30,SC,BSP,1804,0,1804,216425,194531
19,Dabgram-Fulbari,GOUTAM DEB,M,59,GEN,AITC,105540,229,105769,260690,222725
19,Dabgram-Fulbari,DILIP SINGH,M,49,GEN,CPM,81620,338,81958,260690,222725
19,Dabgram-Fulbari,RATHINDRA BOSE (RATHIN),M,56,GEN,BJP,26163,32,26195,260690,222725
19,Dabgram-Fulbari,None of the Above,NOTA,3277,6,3283,260690,222725
19,Dabgram-Fulbari,SUBHAS BISWAS,M,63,SC,IND,2180,0,2180,260690,222725
19,Dabgram-Fulbari,SANJIBAN SARKAR,M,46,SC,BSP,1405,4,1409,260690,222725
19,Dabgram-Fulbari,ABUL KASHEM,M,51,GEN,SUCI,1013,4,1017,260690,222725
19,Dabgram-Fulbari,DULAL SARKAR,M,45,GEN,AMB,913,1,914,260690,222725
20,Mal,BULU CHIK BARAIK,M,57,ST,AITC,84727,150,84877,227471,191666
20,Mal,AUGUSTUS KERKETTA,M,46,ST,CPM,66106,309,66415,227471,191666
20,Mal,MAHESH BAGE,M,35,ST,BJP,29370,10,29380,227471,191666
20,Mal,None of the Above,NOTA,4266,7,4273,227471,191666
20,Mal,ANJALI MALO,F,54,ST,BSP,4168,0,4168,227471,191666
20,Mal,JYOTISH MINJ,M,35,ST,SUCI,2553,0,2553,227471,191666
21,Nagrakata,SUKRA MUNDA,M,44,ST,AITC,57201,105,57306,213862,176542
21,Nagrakata,JOSEPH MUNDA,M,46,ST,INC,53928,150,54078,213862,176542
21,Nagrakata,JOHN BARLA,M,41,ST,BJP,47793,43,47836,213862,176542
21,Nagrakata,None of the Above,NOTA,6195,1,6196,213862,176542
21,Nagrakata,GANESH LAMA,M,39,ST,ABGL,3854,1,3855,213862,176542
21,Nagrakata,INDAR DEO ORAON,M,37,ST,IND,3828,1,3829,213862,176542
21,Nagrakata,PAWAN KUMAR KHERWAR,M,48,ST,IND,3442,0,3442,213862,176542
22,Kalimpong,SARITA RAI,F,57,GEN,GOJAM,67293,400,67693,193742,137985
22,Kalimpong,HARKA BAHADUR CHETTRI,M,58,GEN,IND,55722,540,56262,193742,137985
22,Kalimpong,KISHORE PRADHAN,M,49,GEN,IND,5699,15,5714,193742,137985
22,Kalimpong,None of the Above,NOTA,3350,14,3364,193742,137985
22,Kalimpong,AMAR LOKSOM,M,47,GEN,GRAC,3196,5,3201,193742,137985
22,Kalimpong,BHRIGU NATH GUPTA,M,42,SC,IND,1751,0,1751,193742,137985
23,Darjeeling,AMAR SINGH RAI,M,68,GEN,GOJAM,94624,762,95386,237470,159374
23,Darjeeling,SARDA RAI SUBBA,F,50,GEN,AITC,45183,290,45473,237470,159374
23,Darjeeling,GOVIND CHETTRI,M,56,GEN,IND,8960,22,8982,237470,159374
23,Darjeeling,None of the Above,NOTA,5772,45,5817,237470,159374
23,Darjeeling,ASHOK KUMAR LEPCHA,M,66,ST,GRAC,3686,30,3716,237470,159374
24,Kurseong,ROHIT SHARMA,M,61,GEN,GOJAM,86561,386,86947,225802,163973
24,Kurseong,SHANTA CHHETRI,F,59,GEN,AITC,52996,225,53221,225802,163973
24,Kurseong,ARUN KUMAR GHATANI,M,45,SC,IND,12188,31,12219,225802,163973
24,Kurseong,None of the Above,NOTA,7391,35,7426,225802,163973
24,Kurseong,DHURBA DEWAN,M,48,GEN,GRAC,4148,12,4160,225802,163973
25,Matigara-naxalbari,SANKAR MALAKAR,M,61,SC,INC,86107,334,86441,249408,209377
25,Matigara-naxalbari,AMAR SINHA,M,57,SC,AITC,67612,202,67814,249408,209377
25,Matigara-naxalbari,ANANDAMOY BARMAN,M,33,SC,BJP,44573,52,44625,249408,209377
25,Matigara-naxalbari,None of the Above,NOTA,3299,8,3307,249408,209377
25,Matigara-naxalbari,BIDUR BARMAN,M,56,SC,KPPU,2463,1,2464,249408,209377
25,Matigara-naxalbari,SUDIP MANDAL,M,37,SC,BSP,1849,0,1849,249408,209377
25,Matigara-naxalbari,GOUTAM KIRTANIA,M,46,SC,IND,1739,0,1739,249408,209377
25,Matigara-naxalbari,KSHITISH CHANDRA ROY,M,66,SC,SUCI,1137,1,1138,249408,209377
26,Siliguri,ASOK BHATTACHARYA,M,66,GEN,CPM,77513,541,78054,208719,168350
26,Siliguri,BHAICHUNG BHUTIA,M,40,GEN,AITC,63805,177,63982,208719,168350
26,Siliguri,GITA CHATTERJEE,F,75,GEN,BJP,19284,16,19300,208719,168350
26,Siliguri,None of the Above,NOTA,2868,9,2877,208719,168350
26,Siliguri,RABINDRA RAI,M,36,GEN,GRAC,923,1,924,208719,168350
26,Siliguri,HARIDAS THAKUR,M,68,GEN,BSP,830,2,832,208719,168350
26,Siliguri,MAHENDRA KUMAR JAIN,M,36,GEN,JMM,618,0,618,208719,168350
26,Siliguri,MD. ZAFAR EQBAL,M,30,GEN,IND,499,0,499,208719,168350
26,Siliguri,VISHWJEET CHATTERJI,M,56,GEN,AMB,491,0,491,208719,168350
26,Siliguri,TANMAY DUTTA,M,50,GEN,SUCI,438,1,439,208719,168350
26,Siliguri,DASARATH KARMAKAR,M,66,GEN,ABHM,334,0,334,208719,168350
27,Phansidewa,SUNIL CHANDRA TIRKEY,M,67,ST,INC,72891,267,73158,206362,181280
27,Phansidewa,CAROLUS LAKRA,M,55,ST,AITC,65962,122,66084,206362,181280
27,Phansidewa,DURGA MURMU,M,37,ST,BJP,32876,18,32894,206362,181280
27,Phansidewa,None of the Above,NOTA,2627,2,2629,206362,181280
27,Phansidewa,JEMSHAN TIRKEY,M,25,ST,IND,2072,0,2072,206362,181280
27,Phansidewa,LALU ORAON,M,58,ST,CPI(ML)(L),1595,1,1596,206362,181280
27,Phansidewa,BIKASH BIRJU,M,27,ST,BMUP,1474,0,1474,206362,181280
27,Phansidewa,SUSHIL LAKRA,M,55,ST,IND,1373,0,1373,206362,181280
28,Chopra,HAMIDUL RAHAMAN,M,56,GEN,AITC,74016,374,74390,209966,177890
28,Chopra,AKRAMUL HOQUE,M,42,GEN,CPM,57270,260,57530,209966,177890
28,Chopra,SAJEN RAM SINGHA,M,58,SC,BJP,15798,17,15815,209966,177890
28,Chopra,ASHOK ROY,M,58,GEN,IND,15588,30,15618,209966,177890
28,Chopra,SARKAR MURMU,M,42,ST,JDP,4214,0,4214,209966,177890
28,Chopra,NASEER AHMED KHAN,M,62,GEN,GOJAM,3531,0,3531,209966,177890
28,Chopra,DR MD TABIBUR RAHMAN,M,61,GEN,IND,2681,0,2681,209966,177890
28,Chopra,None of the Above,NOTA,2655,0,2655,209966,177890
28,Chopra,RUHIDAS URAW,M,45,ST,BSP,1456,0,1456,209966,177890
29,Islampur,KANAIA LAL AGARWAL,M,62,GEN,INC,64967,592,65559,188269,149404
29,Islampur,ABDUL KARIM CHOWDHARY,M,69,GEN,AITC,57508,333,57841,188269,149404
29,Islampur,SAUMYAROOP MANDAL,M,37,GEN,BJP,18620,48,18668,188269,149404
29,Islampur,None of the Above,NOTA,1942,1,1943,188269,149404
29,Islampur,MD ARSAD,M,46,GEN,JD(U),1517,4,1521,188269,149404
29,Islampur,SEFALI ROY MONDAL,F,40,SC,BSP,1163,1,1164,188269,149404
29,Islampur,ALTAMAS CHOWDHURY,M,30,GEN,GOJAM,1067,2,1069,188269,149404
29,Islampur,ABDUS SUBHAN,M,47,GEN,SP,923,0,923,188269,149404
29,Islampur,DAYAL SINGHA,M,30,SC,SUCI,714,2,716,188269,149404
30,Goalpokhar,MD GULAM RABBANI,M,46,GEN,AITC,64796,73,64869,198786,147717
30,Goalpokhar,AFJAL HOSEN,M,51,GEN,INC,56992,129,57121,198786,147717
30,Goalpokhar,DEBASHIS SARKAR,M,32,GEN,BJP,16960,6,16966,198786,147717
30,Goalpokhar,JULIA YEASMIN,F,37,GEN,SP,2887,0,2887,198786,147717
30,Goalpokhar,DULAL RAJBANSHI,M,43,SC,SUCI,1827,0,1827,198786,147717
30,Goalpokhar,MANSINGHA HASDA,M,43,ST,BSP,1805,0,1805,198786,147717
30,Goalpokhar,None of the Above,NOTA,1557,0,1557,198786,147717
30,Goalpokhar,RAGHU NATH SINGHA,M,46,SC,IND,685,0,685,198786,147717
31,Chakulia,ALI IMRAN RAMZ,M,37,GEN,AIFB,64041,144,64185,200084,150500
31,Chakulia,ASHIM KUMAR MRIDHA,M,33,SC,BJP,36619,37,36656,200084,150500
31,Chakulia,ALEMA NOORIE,F,26,GEN,AITC,36156,42,36198,200084,150500
31,Chakulia,GOUTAM CHANDRA PAUL,M,39,SC,BSP,8719,0,8719,200084,150500
31,Chakulia,MIR MASUD ALAM,M,37,GEN,SP,1839,0,1839,200084,150500
31,Chakulia,None of the Above,NOTA,1612,1,1613,200084,150500
31,Chakulia,RAFIKUL ALAM,M,49,GEN,IND,1290,0,1290,200084,150500
32,Karandighi,MANODEB SINHA,M,50,GEN,AITC,54379,220,54599,227234,185490
32,Karandighi,GOKUL ROY,M,70,SC,AIFB,51061,306,51367,227234,185490
32,Karandighi,SK. SAMSUL,M,45,GEN,IND,35483,64,35547,227234,185490
32,Karandighi,ABDUL JALIL,M,35,GEN,BJP,28962,16,28978,227234,185490
32,Karandighi,NIROD BANDHU BISWAS,M,44,SC,BSP,4762,0,4762,227234,185490
32,Karandighi,None of the Above,NOTA,4376,0,4376,227234,185490
32,Karandighi,ABDUL MAHID HOSSAIN,M,35,GEN,SP,2030,0,2030,227234,185490
32,Karandighi,SUSHANTA KUMAR DAS,M,37,SC,IND,1628,0,1628,227234,185490
32,Karandighi,REHENA KHATUN,F,28,GEN,IND,1357,0,1357,227234,185490
32,Karandighi,SHANTI LAL SINGHA,M,44,SC,SUCI,846,0,846,227234,185490
33,Hemtabad,DEBENDRA NATH ROY,M,59,SC,CPM,79870,549,80419,232634,197736
33,Hemtabad,SABITA KSHETRY,F,33,SC,AITC,66968,315,67283,232634,197736
33,Hemtabad,BHANU RAM BARMAN,M,41,SC,BJP,40759,36,40795,232634,197736
33,Hemtabad,None of the Above,NOTA,2435,2,2437,232634,197736
33,Hemtabad,ALAKESH BARMAN,M,35,SC,BSP,2065,0,2065,232634,197736
33,Hemtabad,JYOTIRMAY BARMAN,M,34,SC,SUCI,2048,0,2048,232634,197736
33,Hemtabad,BESHILA BARMAN,F,25,SC,IND,1459,0,1459,232634,197736
33,Hemtabad,KANAI LAL BISWAS,M,51,SC,IND,1230,0,1230,232634,197736
34,Kaliaganj,PRAMATHA NATH RAY,M,72,SC,INC,111864,1004,112868,250603,214642
34,Kaliaganj,BASANTA ROY,M,39,SC,AITC,65831,435,66266,250603,214642
34,Kaliaganj,RUPAK ROY,M,27,SC,BJP,27200,52,27252,250603,214642
34,Kaliaganj,None of the Above,NOTA,3530,3,3533,250603,214642
34,Kaliaganj,BASUDEB DEBSHARMA,M,46,SC,BSP,1848,2,1850,250603,214642
34,Kaliaganj,JITEN ROY SINHA,M,55,SC,SWJP,1560,0,1560,250603,214642
34,Kaliaganj,JAGADISH RAJBHAR,M,61,SC,CPI(ML)(L),1313,0,1313,250603,214642
35,Raiganj,MOHIT SENGUPTA,M,65,GEN,INC,86249,1734,87983,178888,149168
35,Raiganj,PURNENDU DEY (BABLU),M,66,GEN,AITC,36226,510,36736,178888,149168
35,Raiganj,PRADIP SARKAR,M,46,GEN,BJP,12901,60,12961,178888,149168
35,Raiganj,ARUN CHANDRA DEY,M,68,GEN,SP,6153,1,6154,178888,149168
35,Raiganj,None of the Above,NOTA,1980,5,1985,178888,149168
35,Raiganj,HARI CHARAN DAS,M,40,GEN,KPPU,1179,1,1180,178888,149168
35,Raiganj,SWAPAN KUMAR DAS,M,40,SC,BSP,987,3,990,178888,149168
35,Raiganj,BENOY KUMAR DAS,M,70,GEN,IND,692,0,692,178888,149168
35,Raiganj,SANATAN DUTTA,M,54,GEN,SUCI,487,0,487,178888,149168
36,Itahar,AMAL ACHARJEE,M,57,GEN,AITC,88111,396,88507,202219,169347
36,Itahar,SRIKUMAR MUKHERJEE,M,62,GEN,CPI,68845,542,69387,202219,169347
36,Itahar,YUNISH HOQUE,M,32,GEN,BJP,7119,7,7126,202219,169347
36,Itahar,None of the Above,NOTA,1740,3,1743,202219,169347
36,Itahar,HOPNA MURMU,M,44,ST,JDP,1576,0,1576,202219,169347
36,Itahar,JAINAL ABEDIN,M,38,GEN,BSP,1008,0,1008,202219,169347
37,Kushmandi,NARMADA CHANDRA ROY,M,61,SC,RSP,68571,394,68965,191402,163497
37,Kushmandi,REKHA ROY,F,30,SC,AITC,65275,161,65436,191402,163497
37,Kushmandi,RANJIT KUMAR ROY,M,45,SC,BJP,20162,21,20183,191402,163497
37,Kushmandi,None of the Above,NOTA,3936,5,3941,191402,163497
37,Kushmandi,JAYDEB MONDAL,M,25,SC,BSP,2009,0,2009,191402,163497
37,Kushmandi,ANIL KUMAR SINGHA,M,69,SC,IND,1495,0,1495,191402,163497
37,Kushmandi,JAGANNATH ROY,M,49,SC,IND,1468,0,1468,191402,163497
38,Kumarganj,TORAF HOSSAIN MANDAL,M,57,GEN,AITC,64255,246,64501,179509,154022
38,Kumarganj,MAFUJA KHATUN,F,43,GEN,CPM,60575,430,61005,179509,154022
38,Kumarganj,MANAS SARKAR,M,41,GEN,BJP,22144,57,22201,179509,154022
38,Kumarganj,None of the Above,NOTA,2469,1,2470,179509,154022
38,Kumarganj,BIPUL TUDU,M,37,ST,BSP,1395,0,1395,179509,154022
38,Kumarganj,GOLOK BARMAN,M,32,SC,BMUP,1062,3,1065,179509,154022
38,Kumarganj,NARAYAN CHANDRA ROY,M,45,GEN,IND,706,0,706,179509,154022
38,Kumarganj,RANJIT DEV,M,53,GEN,SUCI,679,0,679,179509,154022
39,Balurghat,BISWANATH CHOUDHURY,M,73,GEN,RSP,59193,1397,60590,160609,141503
39,Balurghat,CHAKRAVORTI SHANKAR,M,73,GEN,AITC,58370,770,59140,160609,141503
39,Balurghat,GAUTAM CHAKRABORTY,M,45,GEN,BJP,15162,96,15258,160609,141503
39,Balurghat,None of the Above,NOTA,3334,23,3357,160609,141503
