sheet,ac_no,ac_name,nominated,rejected,contested,electors_male,electors_total,voters_total,polling_pct,valid_votes,rejected_votes,nota
S25-28-Chopra,28,Chopra,5,0,5,129838,129972,105220,82.39,201084,,1527
S25-29-Islampur,29,Islampur,5,0,5,114718,114881,85774,77.5,166399,,1962
S25-30-Goalpokhar,30,Goalpokhar,7,0,7,116687,116779,76983,71.95,158754,,2014
S25-31-Chakulia,31,Chakulia,6,0,6,120116,120176,82974,74.35,171329,,1183
S25-32-Karandighi,32,Karandighi,11,0,11,135617,135693,106280,81.23,209397,,2443
S25-33-Hemtabad,33,Hemtabad,7,0,7,137669,137983,112167,84.3,219159,,2154
S25-34-Kaliaganj,34,Kaliaganj,11,0,10,145546,145835,121052,84.92,233936,,2993
S25-35-Raiganj,35,Raiganj,13,4,9,100358,100670,79289,81.43,155700,,2459
S25-36-Itahar,36,Itahar,8,0,8,117585,117821,97117,84.98,191129,,1239
S25-37-Kushmandi,37,Kushmandi,4,0,4,114066,114232,91784,83.79,180767,,1590
S25-38-Kumarganj,38,Kumarganj,4,0,4,105504,105758,85302,83.87,168354,,1115
S25-39-Balurghat,39,Balurghat,7,0,7,90653,90867,74253,84.57,147347,,1810
S25-40-Tapan,40,Tapan,6,0,6,111890,112238,93027,84.7,182350,,1675
S25-41-Gangarampur,41,Gangarampur,6,0,6,114849,115181,95121,84.68,185971,,1135
S25-42-Harirampur,42,Harirampur,8,0,8,115747,115958,93353,82.35,184270,,1818
S25-43-Habibpur,43,Habibpur,11,0,10,125655,125943,97079,79.83,193924,,3085
S25-44-Gazole,44,Gazole,6,0,6,134542,134828,107910,82.84,217841,,1728
S25-45-Chanchal,45,Chanchal,6,0,6,127465,127730,98745,80.13,197528,,1018
S25-46-Harischandrapur,46,Harischandrapur,9,0,8,129731,129930,99619,80.52,201020,,1008
S25-47-Malatipur,47,Malatipur,5,0,5,117670,117707,88485,80.03,182595,,2032
S25-48-Ratua,48,Ratua,6,0,6,145064,145713,106613,77.75,215310,,2047
S25-49-Manikchak,49,Manikchak,6,0,5,130981,131786,101141,81.78,203365,,1360
S25-50-Maldaha,50,Maldaha,6,0,6,123590,124051,101276,84.04,201464,,2804
S25-51-English Bazar,51,English Bazar,10,1,9,137129,137649,108206,79.18,208047,,4974
S25-52-Mothabari,52,Mothabari,8,0,8,98911,99166,77914,83.19,159355,,2139
S25-53-Sujapur,53,Sujapur,10,0,10,126911,127049,99977,82.79,204887,,1522
S25-54-Baisnabnagar,54,Baisnabnagar,6,0,6,125900,126181,105431,84.76,205737,,2198
S25-55-Farakka,55,Farakka,7,1,6,113719,113853,92378,81.97,184030,,1638
S25-56-Samserganj,56,Samserganj,7,0,7,115237,115300,88659,80.07,185153,,3062
S25-57-Suti,57,Suti,8,0,8,132526,132667,104169,81.55,212634,,2723
S25-58-Jangipur,58,Jangipur,9,0,9,129404,129747,94963,77.78,193179,,4551
S25-59-RaghunathGanj,59,RaghunathGanj,7,0,7,126802,126930,85802,76.37,186971,,2935
S25-60-Sagardighi,60,Sagardighi,8,1,7,119596,119885,90347,78.94,184207,,1705
S25-61-Lalgola,61,Lalgola,5,0,5,119476,119617,90449,81.41,188497,,1391
S25-62-Bhagawangola,62,Bhagawangola,10,0,10,134974,135120,111491,85.72,221892,,3392
S25-63-Raninagar,63,Raninagar,7,0,6,130212,130372,110456,86.75,218141,,2769
S25-64-Murshidabad,64,Murshidabad,8,0,8,134947,135363,115692,85.53,225123,,2897
S25-65-Nabagram,65,Nabagram,3,0,3,127049,127560,101949,82.97,204511,,2625
S25-66-Khargram,66,Khargram,4,0,4,116675,117294,90041,81.22,183241,,1683
S25-67-Burwan,67,Burwan,4,0,4,110941,111899,86701,81.39,173667,,2002
S25-68-Kandi,68,Kandi,9,0,8,121073,122227,87423,78.16,181584,,3121
S25-69-Bharatpur,69,Bharatpur,8,0,7,124366,125679,92201,77.77,185831,,2441
S25-70-Rejinagar,70,Rejinagar,6,0,6,132949,134021,104728,81.1,207101,,1550
S25-71-Beldanga,71,Beldanga,8,0,6,129015,129758,101475,80.93,201620,,1361
S25-72-Baharampur,72,Baharampur,7,1,6,127529,128101,98808,76.01,192041,,2504
S25-73-Hariharpara,73,Hariharpara,11,0,11,125455,125619,108165,87.38,213550,,1105
S25-74-Nowda,74,Nowda,7,0,7,126360,126865,102167,81.79,199971,,1301
S25-75-Domkal,75,Domkal,9,0,8,134911,135233,111967,85,222684,,2413
S25-76-Jalangi,76,Jalangi,9,0,9,133717,133992,109348,85.12,218112,,2540
S25-77-Karimpur,77,Karimpur,6,0,6,128154,129085,109623,88.28,216397,,1316
S25-78-Tehatta,78,Tehatta,8,0,7,129617,130981,108054,86.47,212967,,1726
S25-79-Palashipara,79,Palashipara,8,0,8,126348,127490,102339,83.13,199136,,1649
S25-80-Kaliganj,80,Kaliganj,7,0,7,127405,128498,104443,84.38,204145,,2044
S25-81-Nakashipara,81,Nakashipara,7,0,7,127940,128683,106189,84.67,205791,,1135
S25-82-Chapra,82,Chapra,7,0,7,128930,129712,107466,86.11,208797,,2016
S25-83-Krishnanagar Uttar,83,Krishnanagar Uttar,4,0,4,120110,120903,99904,85.01,196641,,1823
S25-84-Nabadwip,84,Nabadwip,6,0,6,123686,124115,106212,86.84,205424,,2760
S25-85-Krishnanagar Dakshin,85,Krishnanagar Dakshin,7,0,7,116000,116860,98815,87.1,191598,,2156
S25-86-Santipur,86,Santipur,7,0,7,131324,131761,112062,86.16,214945,,2364
S25-87-Ranaghat Uttar Paschim,87,Ranaghat Uttar Paschim,7,0,7,133811,134440,110627,83.96,218458,,2216
S25-88-Krishnaganj,88,Krishnaganj,6,0,6,141465,142888,115838,84.79,227402,,2091
S25-89-Ranaghat Uttar Purba,89,Ranaghat Uttar Purba,8,0,8,137790,139018,106669,81.16,210265,,2339
S25-90-Ranaghat Dakshin,90,Ranaghat Dakshin,5,0,3,145264,146154,120661,84.76,238144,,1561
S25-91-Chakdaha,91,Chakdaha,8,0,8,124956,125716,106351,86.44,207116,,1475
S25-92-Kalyani,92,Kalyani,7,0,7,130297,130754,110829,85.67,214689,,2556
S25-93-Haringhata,93,Haringhata,9,0,8,123124,123607,106747,87.73,207801,,1420
S25-94-Bagda,94,Bagda,9,3,5,143241,143937,107807,78.92,215753,,1012
S25-95-Bangaon Uttar,95,Bangaon Uttar,9,1,8,126557,127675,102821,81.67,201102,,1818
S25-96-Bangaon Dakshin,96,Bangaon Dakshin,6,0,6,126024,126559,103839,83.95,204203,,1529
S25-97-Gaighata,97,Gaighata,6,0,6,127475,128356,107283,84.75,209416,,1399
S25-98-Swarupnagar,98,Swarupnagar,5,0,5,125548,126180,109147,86.17,209764,,1254
S25-99-Baduria,99,Baduria,6,0,6,123866,124344,110026,87.48,209953,,1952
S25-100-Habra,100,Habra,7,0,7,123261,124137,105017,84.45,201496,,1276
S25-101-Ashoknagar,101,Ashoknagar,6,0,6,129207,129652,110928,84.35,213117,,1604
S25-102-Amdanga,102,Amdanga,9,0,9,124574,124862,111119,87.4,208840,,2314
S25-103-Bijpur,103,Bijpur,7,0,7,98068,98442,71550,72.54,136541,,1222
S25-104-Naihati,104,Naihati,3,0,3,96482,97094,79321,80.71,153283,,1689
S25-105-Bhatpara,105,Bhatpara,8,0,8,83370,83562,58140,69.59,105636,,1146
S25-106-Jagatdal,106,Jagatdal,12,0,12,119839,120336,94025,77.54,177280,,2558
S25-107-Noapara,107,Noapara,9,0,9,130760,131299,98948,73.6,188334,,2873
S25-108-Barrackpur,108,Barrackpur,6,1,5,110138,110634,76687,68.95,145233,,1923
S25-109-Khardaha,109,Khardaha,6,0,6,116144,116398,94126,78.76,179847,,2407
S25-110-Dum Dum Uttar,110,Dum Dum Uttar,3,0,3,134625,134799,108666,78.15,210140,,2107
S25-111-Panihati,111,Panihati,5,0,5,114490,114646,88858,75.59,171008,,2326
S25-112-Kamarhati,112,Kamarhati,8,0,8,99748,99923,74648,73.25,142015,,1547
S25-113-Baranagar,113,Baranagar,5,0,5,106982,107099,81654,73.72,156448,,2365
S25-114-Dum Dum,114,Dum Dum,7,0,7,121965,122048,93598,74.9,182463,,2035
S25-115-Rajarhat New Town,115,Rajarhat New Town,7,1,6,146871,146954,122860,81.33,232022,,2028
S25-116-Bidhannagar,116,Bidhannagar,7,0,7,119688,119768,82395,66.8,158660,,2198
S25-117-Rajarhat  Gopalpur,117,Rajarhat  Gopalpur,9,0,9,126530,126644,90978,69.58,175582,,2251
S25-118-Madhyamgram,118,Madhyamgram,5,0,5,137388,137589,118127,84.66,225403,,3137
S25-119-Barasat,119,Barasat,8,0,8,139577,139845,114587,80.9,221815,,2678
S25-120-Deganga,120,Deganga,5,0,5,124332,124551,112807,88.39,211593,,2098
S25-121-Haroa,121,Haroa,6,0,6,133798,133884,120850,87.75,223551,,2928
S25-122-Minakhan,122,Minakhan,2,0,2,122420,122450,112262,89.85,207830,,3937
S25-123-Sandeshkhali,123,Sandeshkhali,6,0,6,122255,122313,105902,86.34,202441,,2454
S25-124-Basirhat Dakshin,124,Basirhat Dakshin,6,0,6,139032,139451,119917,85.52,232633,,1680
S25-125-Basirhat Uttar,125,Basirhat Uttar,5,0,4,137367,137670,123764,89.04,235471,,1946
S25-126-Hingalganj,126,Hingalganj,6,0,6,117077,117333,98236,85.29,190973,,1734
S25-127-Gosaba,127,Gosaba,5,0,5,118212,118328,100096,85.08,193301,,1013
S25-128-Basanti,128,Basanti,6,0,6,132718,132781,109175,82.21,210348,,1905
S25-129-Kultali,129,Kultali,8,0,8,136264,136285,118258,85.62,225107,,1045
S25-130-Patharpratima,130,Patharpratima,5,0,5,136102,136258,118716,87.98,229563,,1213
S25-131-Kakdwip,131,Kakdwip,4,0,4,126872,127038,112433,88.69,217725,,1018
S25-132-Sagar,132,Sagar,4,0,4,142529,142921,120149,87.23,236177,,1023
S25-133-Kulpi,133,Kulpi,6,0,5,111951,112034,98983,87.87,190459,,1683
S25-134-Raidighi,134,Raidighi,8,1,7,140129,140212,123643,87.62,235373,,2329
S25-135-Mandirbazar,135,Mandirbazar,11,0,10,116785,116839,103629,87.46,196724,,2397
S25-136-Jaynagar,136,Jaynagar,9,0,9,121845,121954,105372,84.4,200376,,1162
S25-137-Baruipur Purba,137,Baruipur Purba,7,0,7,134058,134104,116071,84.93,221865,,1851
S25-138-Canning Paschim,138,Canning Paschim,6,0,6,130029,130149,112234,84.84,214199,,3026
S25-139-Canning Purba,139,Canning Purba,5,0,5,133804,133825,121420,88.76,229400,,2258
S25-140-Baruipur Paschim,140,Baruipur Paschim,8,0,8,125744,125894,107121,83.37,208424,,1528
S25-141-Magrahat Purba,141,Magrahat Purba,6,0,6,123700,123833,106527,85.62,203562,,2684
S25-142-Magrahat Paschim,142,Magrahat Paschim,10,0,10,117460,117542,99213,84.99,190412,,2869
S25-143-Diamond Harbour,143,Diamond Harbour,10,0,10,128803,128963,114996,88.4,223004,,1446
S25-144-Falta,144,Falta,10,0,10,120354,120452,105933,87.92,205208,,1180
S25-145-Satgachhia,145,Satgachhia,6,0,6,136747,136789,120038,87.44,233024,,1845
S25-146-Bishnupur,146,Bishnupur,4,0,4,140799,140875,121486,85.72,234377,,2978
S25-147-Sonarpur Dakshin,147,Sonarpur Dakshin,10,0,10,142001,142148,117399,80.83,228576,,2541
S25-148-Bhangar,148,Bhangar,6,0,6,139533,139570,128757,89.28,238428,,3725
S25-149-Kasba,149,Kasba,8,0,8,155002,155074,115563,72.91,219854,,2465
S25-150-Jadavpur,150,Jadavpur,8,0,8,144919,145011,106578,72,210802,,2713
S25-151-Sonarpur Uttar,151,Sonarpur Uttar,6,0,6,149622,149716,122927,80.35,237088,,2737
S25-152-Tollyganj,152,Tollyganj,11,0,11,131508,131627,98454,73.28,193456,,2297
S25-153-Behala Purba,153,Behala Purba,7,0,6,151384,151495,111495,71.97,217696,,2729
S25-154-Behala Paschim,154,Behala Paschim,6,0,6,152398,152575,115587,74.15,227631,,2415
S25-155-Maheshtala,155,Maheshtala,5,0,5,136036,136180,114539,81.25,217097,,2043
S25-156-Budge Budge,156,Budge Budge,8,0,8,129456,129603,111177,84.78,212632,,2726
S25-157-Metiaburuz,157,Metiaburuz,7,0,7,136138,136201,109472,76.76,193149,,3004
S25-158-Kolkata Port,158,Kolkata Port,9,0,9,132315,132380,85534,64.64,150616,,1355
S25-159-Bhabanipur,159,Bhabanipur,9,0,8,111177,111242,70201,61.79,125029,,1563
S25-160-Rashbehari,160,Rashbehari,10,0,10,103009,103042,64395,60.58,121349,,1641
S25-161-Ballygunge,161,Ballygunge,10,0,10,133182,133202,83001,60.99,149050,,1314
S25-162-Chowrangee,162,Chowrangee,9,0,9,125233,125261,66032,53.61,109675,,1207
S25-163-Entally,163,Entally,13,1,11,123395,123436,84916,67.98,155166,,980
S25-164-Beleghata,164,Beleghata,13,0,13,132530,132560,85698,63.18,155843,,1559
S25-165-Jorasanko,165,Jorasanko,9,0,9,116116,116134,59339,50.08,97524,,1024
S25-166-Shyampukur,166,Shyampukur,8,0,8,94046,94089,56794,58.36,100948,,1053
S25-167-Maniktala,167,Maniktala,9,0,9,109807,109855,71642,62.99,130862,,1413
S25-168-Kashipur-Belgachhia,168,Kashipur-Belgachhia,9,0,9,117464,117464,73684,60.33,131745,,1564
S25-169-Bally,169,Bally,7,1,6,93371,93561,67644,71.49,124307,,1204
S25-170-Howrah Uttar,170,Howrah Uttar,13,0,13,119310,119456,82760,68.53,147720,,1668
S25-171-Howrah Madhya,171,Howrah Madhya,12,0,12,139229,139314,104018,73.26,192032,,2734
S25-172-Shibpur,172,Shibpur,10,0,10,117244,117327,93849,78.02,179621,,1901
S25-173-Howrah Dakshin,173,Howrah Dakshin,10,0,10,149842,149980,114050,73.77,213497,,2937
S25-174-Sankrail,174,Sankrail,7,0,7,140888,140968,116935,80.2,219949,,1848
S25-175-Panchla,175,Panchla,5,0,5,135659,135682,112187,81.55,214241,,2405
S25-176-Uluberia Purba,176,Uluberia Purba,7,0,7,118863,118990,98851,82.63,190330,,2100
S25-177-Uluberia Uttar,177,Uluberia Uttar,7,0,7,114969,115018,95742,82.81,184200,,1244
S25-178-Uluberia Dakshin,178,Uluberia Dakshin,6,0,6,121413,121458,104448,85.16,200617,,1473
S25-179-Shyampur,179,Shyampur,5,0,5,131442,131617,111182,86.2,220293,,1141
S25-180-Bagnan,180,Bagnan,6,0,6,117434,117593,101928,86.52,198025,,1546
S25-181-Amta,181,Amta,7,0,7,134509,134661,105464,79.83,207315,,1302
S25-182-Udaynarayanpur,182,Udaynarayanpur,5,0,5,120139,120377,100192,84.23,196307,,1216
S25-183-Jagatballavpur,183,Jagatballavpur,5,0,5,146619,146678,119222,81.85,232091,,2760
S25-184-Domjur,184,Domjur,11,0,11,151429,151523,129370,83.95,248521,,2078
S25-185-Uttarpara,185,Uttarpara,5,0,5,129233,129546,101402,77.04,195356,,3342
S25-186-Sreerampur,186,Sreerampur,8,1,7,130544,131087,98124,74.53,184540,,2387
S25-187-Champdani,187,Champdani,7,0,7,133672,133977,103347,76.5,196813,,3413
S25-188-Singur,188,Singur,4,0,4,124421,124561,104017,85.15,205425,,2335
S25-189-Chandannagar,189,Chandannagar,7,0,7,114690,114985,91808,79.46,176848,,3000
S25-190-Chunchura,190,Chunchura,7,0,7,155138,155673,127493,81.66,247971,,5875
S25-191-Balagarh,191,Balagarh,3,0,3,130803,131223,110441,85.19,215242,,3098
S25-192-Pandua,192,Pandua,5,0,5,134565,134715,109411,83.09,220080,,2669
S25-193-Saptagram,193,Saptagram,8,0,8,119008,119219,97446,82.27,187958,,3851
S25-194-Chanditala,194,Chanditala,4,0,4,133642,133712,101250,78.69,204237,,2153
S25-195-Jangipara,195,Jangipara,7,0,6,131045,131158,104152,82.01,205926,,3031
S25-196-Haripal,196,Haripal,4,0,4,136484,136754,109142,82.13,215562,,3897
S25-197-Dhanekhali,197,Dhanekhali,3,0,3,135137,135302,114722,86.2,229514,,2167
S25-198-Tarakeswar,198,Tarakeswar,5,0,5,120590,120811,103095,86.4,200885,,3427
S25-199-Pursurah,199,Pursurah,3,0,3,132770,133058,111460,85.94,218797,,2776
S25-200-Arambag,200,Arambag,3,0,3,130644,130929,110744,85.49,215452,,3163
S25-201-Goghat,201,Goghat,4,0,4,125540,125807,112083,89.14,215918,,2472
S25-202-Khanakul,202,Khanakul,6,0,6,143308,143436,104864,78.69,213578,,3275
S25-203-Tamluk,203,Tamluk,7,0,7,136303,136623,117993,88.57,233078,,1130
S25-204-Panskura Purba,204,Panskura Purba,7,0,7,121592,121755,100014,84.01,196648,,1177
S25-205-Panskura Paschim,205,Panskura Paschim,5,0,4,140543,141024,115987,85.51,231319,,1331
S25-206-Moyna,206,Moyna,7,0,7,132134,132690,111695,88.09,221122,,1324
S25-207-Nandakumar,207,Nandakumar,5,0,5,130812,131100,114379,89.87,224139,,2182
S25-208-Mahisadal,208,Mahisadal,6,0,6,125338,125585,108996,89.56,215271,,1759
S25-209-Haldia,209,Haldia,3,0,3,129195,129382,113415,88.17,218130,,1408
S25-210-Nandigram,210,Nandigram,6,0,6,133257,134085,115368,88.55,225272,,1089
S25-211-Chandipur,211,Chandipur,7,0,7,126950,127397,111305,89.73,218273,,726
S25-212-Patashpur,212,Patashpur,5,0,4,122492,122974,104058,88.48,205916,,856
S25-213-Kanthi Uttar,213,Kanthi Uttar,6,0,6,132834,133127,115207,88.77,224916,,1486
S25-214-Bhagabanpur,214,Bhagabanpur,4,0,4,131545,132120,111620,87.66,219991,,1013
S25-215-Khejuri,215,Khejuri,4,0,4,123640,124110,108477,89.2,210075,,1129
S25-216-Kanthi Dakshin,216,Kanthi Dakshin,3,0,3,113675,114204,97613,86.74,191781,,863
S25-217-Ramnagar,217,Ramnagar,3,0,3,135171,135478,108212,83.89,219345,,1230
S25-218-Egra,218,Egra,6,0,4,146441,146765,119131,84.75,237449,,1388
S25-219-Dantan,219,Dantan,5,1,4,120000,120183,96637,84.68,195095,,1245
S25-220-Nayagram,220,Nayagram,7,0,7,115136,115316,95499,84.96,186991,,3077
S25-221-Gopiballavpur,221,Gopiballavpur,9,0,9,113761,114023,98947,88.03,193440,,2781
S25-222-Jhargram,222,Jhargram,9,0,7,117202,117623,100075,85.67,195187,,3615
S25-223-Keshiary,223,Keshiary,4,0,4,121110,121185,107063,89.12,208711,,2564
S25-224-Kharagpur Sadar,224,Kharagpur Sadar,4,0,4,114829,115051,86215,73.06,167792,,2628
S25-225-Narayangarh,225,Narayangarh,5,0,5,123064,123395,109458,89.33,214637,,1750
S25-226-Sabang,226,Sabang,5,0,5,136112,136601,117534,89.27,231137,,1515
S25-227-Pingla,227,Pingla,4,0,3,128839,129195,114727,89.72,224669,,2060
S25-228-Kharagpur,228,Kharagpur,5,0,5,113735,114120,100910,88.32,196158,,2639
S25-229-Debra,229,Debra,4,0,4,116899,117223,99975,87.55,201094,,1346
S25-230-Daspur,230,Daspur,3,0,3,151709,151949,98832,74.68,219117,,1356
S25-231-Ghatal,231,Ghatal,5,0,5,142815,143049,105675,80.62,221958,,1295
S25-232-Chandrakona,232,Chandrakona,5,0,5,142887,143152,125199,89.13,245048,,2900
S25-233-Garbeta,233,Garbeta,7,1,4,117775,118554,106594,89.8,203635,,2701
S25-234-Salboni,234,Salboni,12,0,9,139334,139634,126170,90.21,245085,,2422
S25-235-Keshpur,235,Keshpur,2,0,2,134833,135011,118587,88.08,225951,,3287
S25-236-Medinipur,236,Medinipur,5,0,5,138064,138385,117805,85.39,231670,,3900
S25-237-Binpur,237,Binpur,10,0,8,111113,111503,93813,84.36,184322,,3296
S25-238-Bandwan,238,Bandwan,6,0,5,143471,143661,120262,85.06,235393,,4046
S25-239-Balarampur,239,Balarampur,10,0,7,122348,122638,101146,83.27,194160,,2432
S25-240-Baghmundi,240,Baghmundi,11,5,6,127513,127803,104130,82.9,202277,,2375
S25-241-Joypur,241,Joypur,13,3,10,127964,128197,103210,81.41,198113,,2944
S25-242-Purulia,242,Purulia,10,1,9,131067,131505,104834,80.25,202574,,2983
S25-243-Manbazar,243,Manbazar,4,1,3,127418,127849,105634,84.82,208845,,3017
S25-244-Kashipur,244,Kashipur,5,1,4,119716,120121,97738,82.17,190695,,3392
S25-245-Para,245,Para,6,0,6,125905,126128,100591,79.56,189486,,3648
S25-246-Raghunathpur,246,Raghunathpur,7,0,7,131830,132233,110808,82.96,209467,,3537
S25-247-Saltora,247,Saltora,4,0,4,119191,119544,104765,87.1,197623,,3350
S25-248-Chhatna,248,Chhatna,10,0,9,123628,124355,98804,81.32,191880,,3510
S25-249-Ranibandh,249,Ranibandh,6,0,5,127314,127962,104726,83.51,204724,,4215
S25-250-Raipur,250,Raipur,5,0,5,112542,113042,97234,86.83,189838,,2973
S25-251-Taldangra,251,Taldangra,8,0,8,118007,119072,102238,87.25,197460,,3509
S25-252-Bankura,252,Bankura,8,0,8,134988,135684,109392,80.81,211270,,4491
S25-253-Barjora,253,Barjora,6,0,6,126890,127699,112903,87.64,213135,,4894
S25-254-Onda,254,Onda,9,1,8,130963,131694,115457,88.06,219381,,4869
S25-255-Bishnupur,255,Bishnupur,5,0,5,110816,111392,97053,87.69,186259,,3975
S25-256-Katulpur,256,Katulpur,5,0,4,125404,126160,113245,90.92,219569,,1833
S25-257-Indus,257,Indus,2,0,2,123165,123722,110375,90.09,213474,,3164
S25-258-Sonamukhi,258,Sonamukhi,5,0,5,118896,119429,105625,89.23,203616,,2062
S25-259-Khandaghosh,259,Khandaghosh,4,0,4,122787,122879,110538,89.81,214194,,1934
S25-260-Bardhaman Dakshin,260,Bardhaman Dakshin,7,0,6,127474,127611,103929,80,199906,,4250
S25-261-Raina,261,Raina,4,0,4,131289,131468,117086,88.67,226017,,1556
S25-262-Jamalpur,262,Jamalpur,6,0,6,119216,119289,104191,87.67,202822,,2859
S25-263-Monteswar,263,Monteswar,5,0,5,123053,123239,104713,86.38,206419,,1604
S25-264-Kalna,264,Kalna,5,0,5,122723,122904,105956,86.76,205681,,2956
S25-265-Memari,265,Memari,5,0,5,127037,127139,109320,86.1,216296,,1666
S25-266-Bardhaman Uttar,266,Bardhaman Uttar,5,0,4,138248,138385,121668,87.39,238018,,2388
S25-267-Bhatar,267,Bhatar,8,0,8,124424,124612,108288,87.13,208609,,4927
S25-268-Purbasthali Dakshin,268,Purbasthali Dakshin,5,0,5,127027,127256,108739,86.68,212910,,1559
S25-269-Purbasthali Uttar,269,Purbasthali Uttar,6,0,6,130843,131278,106425,84.12,209610,,1347
S25-270-Katwa,270,Katwa,5,0,4,136458,136906,111765,84.13,221048,,2350
S25-271-Ketugram,271,Ketugram,5,0,5,133320,133987,108165,83.53,210415,,4072
S25-272-Mangalkot,272,Mangalkot,5,0,5,128684,128883,109830,86.68,212194,,3816
S25-273-Ausgram,273,Ausgram,4,0,4,124706,124808,110982,88.04,212080,,4037
S25-274-Galsi,274,Galsi,4,0,4,130420,130585,114269,86.77,219222,,2247
S25-275-Pandabeswar,275,Pandabeswar,8,0,8,110488,110561,87492,77.68,160064,,2727
S25-276-Durgapur Purba,276,Durgapur Purba,8,0,8,129245,129493,100024,75.21,188273,,2609
S25-277-Durgapur Paschim,277,Durgapur Paschim,11,0,9,137980,138154,104153,73.15,192677,,2611
S25-278-Raniganj,278,Raniganj,7,0,7,129581,129731,96859,72.67,178929,,1994
S25-279-Jamuria,279,Jamuria,5,0,5,115099,115170,89790,75.39,163313,,2346
S25-280-Asansol Dakshin,280,Asansol Dakshin,2,0,2,141313,141542,103321,71.08,189343,,3442
S25-281-Asansol Uttar,281,Asansol Uttar,7,0,7,139753,139900,101520,70.04,187461,,3321
S25-282-Kulti,282,Kulti,6,0,6,130599,130819,93933,69.51,170269,,3541
S25-283-Barabani,283,Barabani,6,0,6,114567,114675,88812,75.19,164278,,3024
S25-284-Dubrajpur,284,Dubrajpur,5,0,5,123287,123589,106661,84.75,199396,,3148
S25-285-Suri,285,Suri,6,0,6,132250,132586,111125,83.09,213470,,1806
S25-286-Bolpur,286,Bolpur,9,0,9,137278,137529,116813,84.22,223784,,3316
S25-287-Nanoor,287,Nanoor,3,0,3,140034,140598,118414,85.06,230547,,2134
S25-288-Labpur,288,Labpur,7,0,7,121903,122533,107691,88.44,206440,,3049
S25-289-Sainthia,289,Sainthia,2,0,2,128935,129376,113306,86.73,217297,,1727
S25-290-Mayureswar,290,Mayureswar,4,0,4,116412,116802,100668,86.67,194278,,2777
S25-291-Rampurhat,291,Rampurhat,5,0,5,129117,129449,109574,83.48,211553,,3369
S25-292-Hansan,292,Hansan,4,0,4,125093,125476,105128,85.11,206371,,2418
S25-293-Nalhati,293,Nalhati,9,0,9,123942,124329,105083,84.94,204407,,1891
S25-294-Murarai,294,Murarai,6,0,6,132824,133026,109098,82.82,214910,,1501
