ac_no,ac_name,STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
10,Detailed Results,West Bengal,3,COOCHBEHAR UTTAR,8 GOPAL ROY,MALE,41,SC,AMB,Black Board,620,8,628,0.26,282988
10,Detailed Results,TURN OUT,,,,TOTAL:,240745,3171,243916,86.19,,,,,
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,1 Nikhil Ranjan Dey,MALE,63,GENERAL,BJP,Lotus,89966,1594,91560,46.83,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,2 Avijit De Bhowmik,MALE,46,GENERAL,AITC,Flowers and Grass,85620,1009,86629,44.31,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,3 Akshay Thakur,MALE,71,GENERAL,AIFB,Lion,9928,318,10246,5.24,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,4 Rati Ranjan Paul,MALE,55,GENERAL,IND,COCONUT FARM,1480,5,1485,0.76,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,5 NOTA,NOTA,NOTA,1436,28,1464,0.75,233839,,,
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,6 Khokan Majumdar,MALE,71,SC,BSP,Elephant,1415,4,1419,0.73,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,7 Nazma Khandakar,FEMALE,61,GENERAL,SUCI,Battery torch,1124,14,1138,0.58,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,8 Anamika Paul,FEMALE,46,GENERAL,IND,Harmonium,728,11,739,0.38,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,9 Bidhan Barma,MALE,40,SC,IND,Matchbox,493,3,496,0.25,233839
10,Detailed Results,West Bengal,4,Coochbehar Dakshin,10 Babla Deb,MALE,33,GENERAL,AMB,Boat with Man and Sail,326,3,329,0.17,233839
10,Detailed Results,TURN OUT,,,,TOTAL:,192516,2989,195505,83.61,,,,,
10,Detailed Results,West Bengal,5,Sitalkuchi,1 Baren Chandra Barman,MALE,47,SC,BJP,Lotus,124120,835,124955,50.8,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,2 Partha Pratim Ray,MALE,39,SC,AITC,Flowers and Grass,106527,613,107140,43.56,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,3 Sudhangshu Pramanik,MALE,42,SC,CPI(M),"Hammer, Sickle and Star",6622,98,6720,2.73,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,4 NOTA,NOTA,NOTA,2738,5,2743,1.12,285260,,,
10,Detailed Results,West Bengal,5,Sitalkuchi,5 Hare Krishna Sarkar,MALE,49,SC,IND,Football Player,2018,0,2018,0.82,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,6 Manik Chandra Barman,MALE,40,SC,KPPU,Boat with Man and Sail,970,6,976,0.4,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,7 Kamal Barman,MALE,52,SC,AMB,Sitar,719,2,721,0.29,285260
10,Detailed Results,West Bengal,5,Sitalkuchi,8 Jagadish Adhikari,MALE,50,SC,SUCI,Battery torch,691,2,693,0.28,285260
10,Detailed Results,TURN OUT,,,,TOTAL:,244405,1561,245966,86.23,,,,,
10,Detailed Results,West Bengal,6,Sitai,1 JAGADISH CHANDRA BARMA BASUNIA,MALE,57,SC,AITC,Flowers and Grass,116850,1058,117908,49.42,290568
10,Detailed Results,West Bengal,6,Sitai,2 DIPAK KUMAR ROY,MALE,55,SC,BJP,Lotus,106723,1073,107796,45.18,290568
10,Detailed Results,West Bengal,6,Sitai,3 KESHAB CHANDRA RAY,MALE,68,SC,INC,Hand,3900,64,3964,1.66,290568
10,Detailed Results,West Bengal,6,Sitai,4 SUNIL MAHANTA,MALE,52,SC,IND,Cauliflower,2387,4,2391,1,290568
10,Detailed Results,West Bengal,6,Sitai,5 LALCHAND BARMAN,MALE,66,SC,IND,Almirah,1773,3,1776,0.74,290568
10,Detailed Results,West Bengal,6,Sitai,6 NOTA,NOTA,NOTA,1564,13,1577,0.66,290568,,,
10,Detailed Results,West Bengal,6,Sitai,7 ANIL CHANDRA BARMAN ROY,MALE,62,SC,SUCI,Battery torch,1371,10,1381,0.58,290568
10,Detailed Results,West Bengal,6,Sitai,8 KASHIKANTA BARMAN,MALE,56,SC,IND,SHIP,862,4,866,0.36,290568
10,Detailed Results,West Bengal,6,Sitai,9 PROSHANTA BARMAN,MALE,27,SC,LJP,Bungalow,548,2,550,0.23,290568
10,Detailed Results,West Bengal,6,Sitai,10 PRASANNA KUMAR ROY,MALE,68,SC,AMB,Boat with Man and Sail,364,5,369,0.15,290568
10,Detailed Results,TURN OUT,,,,TOTAL:,236342,2236,238578,82.11,,,,,
10,Detailed Results,West Bengal,7,Dinhata,1 NISITH PRAMANIK,MALE,35,SC,BJP,Lotus,114361,1674,116035,47.6,299251
10,Detailed Results,West Bengal,7,Dinhata,2 UDAYAN GUHA,MALE,66,GENERAL,AITC,Flowers and Grass,114887,1091,115978,47.58,299251
10,Detailed Results,West Bengal,7,Dinhata,3 ABDUR ROUF,MALE,54,GENERAL,AIFB,Lion,5916,153,6069,2.49,299251
10,Detailed Results,West Bengal,7,Dinhata,4 NOTA,NOTA,NOTA,1515,22,1537,0.63,299251,,,
10,Detailed Results,West Bengal,7,Dinhata,5 LEBU MIYAN,MALE,37,GENERAL,IND,Football Player,1386,1,1387,0.57,299251
10,Detailed Results,West Bengal,7,Dinhata,6 PRADIP ROY,MALE,45,SC,SUCI,Battery torch,1364,11,1375,0.56,299251
10,Detailed Results,West Bengal,7,Dinhata,7 NIRMAL CHANDRA BARMAN,MALE,44,SC,IND,Glass Tumbler,1361,9,1370,0.56,299251
10,Detailed Results,TURN OUT,,,,TOTAL:,240790,2961,243751,81.45,,,,,
10,Detailed Results,West Bengal,8,Natabari,1 Mihir Goswami,MALE,67,GENERAL,BJP,Lotus,110020,1723,111743,51.45,245040
10,Detailed Results,West Bengal,8,Natabari,2 Rabindra Nath Ghosh,MALE,65,GENERAL,AITC,Flowers and Grass,87098,1205,88303,40.66,245040
10,Detailed Results,West Bengal,8,Natabari,3 Akik Hassan,MALE,31,GENERAL,CPI(M),"Hammer, Sickle and Star",11584,255,11839,5.45,245040
10,Detailed Results,West Bengal,8,Natabari,4 Sahidul Hossain,MALE,45,GENERAL,IND,Diesel Pump,1338,3,1341,0.62,245040
10,Detailed Results,West Bengal,8,Natabari,5 Abdus Salam,MALE,41,GENERAL,SUCI,Battery torch,1178,8,1186,0.55,245040
10,Detailed Results,West Bengal,8,Natabari,6 NOTA,NOTA,NOTA,1127,19,1146,0.53,245040,,,
10,Detailed Results,West Bengal,8,Natabari,7 Dalendra Nath Ray,MALE,66,SC,AMB,Helicopter,1103,7,1110,0.51,245040
10,Detailed Results,West Bengal,8,Natabari,8 Ekramul Hoque,MALE,34,GENERAL,UTSAP,Boat with Man and Sail,500,5,505,0.23,245040
10,Detailed Results,TURN OUT,,,,TOTAL:,213948,3225,217173,88.63,,,,,
10,Detailed Results,West Bengal,9,Tufanganj,1 Malati Rava Roy,FEMALE,56,SC,BJP,Lotus,112609,1894,114503,54.69,234311
10,Detailed Results,West Bengal,9,Tufanganj,2 Pranab Kumar Dey,MALE,60,GENERAL,AITC,Flowers and Grass,82546,759,83305,39.79,234311
10,Detailed Results,West Bengal,9,Tufanganj,3 Rabin Roy,MALE,67,SC,INC,Hand,5804,169,5973,2.85,234311
10,Detailed Results,West Bengal,9,Tufanganj,4 NOTA,NOTA,NOTA,2047,22,2069,0.99,234311,,,
10,Detailed Results,West Bengal,9,Tufanganj,5 Sushil Chandra Das,MALE,54,SC,IND,COCONUT FARM,1458,3,1461,0.7,234311
10,Detailed Results,West Bengal,9,Tufanganj,6 Prahallad Layek,MALE,40,SC,IND,Telephone,600,1,601,0.29,234311
10,Detailed Results,West Bengal,9,Tufanganj,7 Dhananjay Barman,MALE,42,SC,IND,Boat with Man and Sail,541,11,552,0.26,234311
10,Detailed Results,West Bengal,9,Tufanganj,8 Bhola Saha,MALE,58,GENERAL,SUCI,Battery torch,481,10,491,0.23,234311
10,Detailed Results,West Bengal,9,Tufanganj,9 Jiban Kumar Saha,MALE,66,GENERAL,AMB,Helicopter,422,1,423,0.2,234311
10,Detailed Results,TURN OUT,,,,TOTAL:,206508,2870,209378,89.36,,,,,
10,Detailed Results,West Bengal,10,Kumargram,1 MANOJ KUMAR ORAON,MALE,41,ST,BJP,Lotus,110658,1316,111974,48.16,272924
10,Detailed Results,West Bengal,10,Kumargram,2 LEOS KUJUR (URAO),MALE,46,ST,AITC,Flowers and Grass,100009,964,100973,43.43,272924
10,Detailed Results,West Bengal,10,Kumargram,3 KISHOR MINJ,MALE,37,ST,RSP,Spade & Stoker,11100,153,11253,4.84,272924
10,Detailed Results,West Bengal,10,Kumargram,4 NOTA,NOTA,NOTA,2706,12,2718,1.17,272924,,,
10,Detailed Results,West Bengal,10,Kumargram,5 Aron Murmu,MALE,26,ST,IND,Basket containing Fruits,1774,7,1781,0.77,272924
10,Detailed Results,West Bengal,10,Kumargram,6 Shrilal Oron,MALE,43,ST,KPPU,Boat with Man and Sail,1643,8,1651,0.71,272924
10,Detailed Results,West Bengal,10,Kumargram,7 KALAWATI CHIK BARAIK,FEMALE,44,ST,JD(U),Arrow,1381,18,1399,0.6,272924
10,Detailed Results,West Bengal,10,Kumargram,8 Shailen Marandi,MALE,37,ST,BMUP,Cot,735,5,740,0.32,272924
10,Detailed Results,TURN OUT,,,,TOTAL:,230006,2483,232489,85.18,,,,,
10,Detailed Results,West Bengal,11,Kalchini,1 BISHAL LAMA,MALE,39,ST,BJP,Lotus,102247,857,103104,52.65,247425
10,Detailed Results,West Bengal,11,Kalchini,2 PASSANG LAMA,MALE,48,ST,AITC,Flowers and Grass,73896,632,74528,38.06,247425
10,Detailed Results,West Bengal,11,Kalchini,3 AVIJIT NARJINARY,MALE,48,ST,INC,Hand,5386,96,5482,2.8,247425
10,Detailed Results,West Bengal,11,Kalchini,4 BINAY NARJINARY,MALE,42,ST,IND,Tractor Chalata Kisan,2416,9,2425,1.24,247425
10,Detailed Results,West Bengal,11,Kalchini,5 NOTA,NOTA,NOTA,2370,7,2377,1.21,247425,,,
10,Detailed Results,West Bengal,11,Kalchini,6 REKHA LAKRA (EKKA),FEMALE,41,ST,IND,Pineapple,2242,9,2251,1.15,247425
10,Detailed Results,West Bengal,11,Kalchini,7 PRAKASH KUJUR,MALE,67,ST,IND,Coat,1858,11,1869,0.95,247425
10,Detailed Results,West Bengal,11,Kalchini,8 CHANCHAL NARJINARY,MALE,30,ST,LJP,Bungalow,1163,1,1164,0.59,247425
10,Detailed Results,West Bengal,11,Kalchini,9 SUKUMAR MINJ,MALE,39,ST,IND,Football,907,3,910,0.46,247425
10,Detailed Results,West Bengal,11,Kalchini,10 ASHOK LAMA,MALE,50,ST,NPEP,Book,794,9,803,0.41,247425
10,Detailed Results,West Bengal,11,Kalchini,11 HAKIM MAHALI,MALE,36,ST,BMUP,Cot,475,4,479,0.24,247425
10,Detailed Results,West Bengal,11,Kalchini,12 MADAN KUMAR URAON,MALE,34,ST,JD(U),Arrow,419,4,423,0.22,247425
10,Detailed Results,TURN OUT,,,,TOTAL:,194173,1642,195815,79.14,,,,,
10,Detailed Results,West Bengal,12,Alipurduars,1 SUMAN KANJILAL,MALE,50,GENERAL,BJP,Lotus,105517,1816,107333,48.19,260652
10,Detailed Results,West Bengal,12,Alipurduars,2 SOURAV CHAKRABORTY (GHUTIS),MALE,48,GENERAL,AITC,Flowers and Grass,90183,1143,91326,41,260652
10,Detailed Results,West Bengal,12,Alipurduars,3 DEBA PRASAD ROY,MALE,72,GENERAL,INC,Hand,15203,448,15651,7.03,260652
10,Detailed Results,West Bengal,12,Alipurduars,4 NIKHIL CHANDRA RAIBIR,MALE,59,SC,IND,Football,2333,18,2351,1.06,260652
10,Detailed Results,West Bengal,12,Alipurduars,5 NOTA,NOTA,NOTA,1950,31,1981,0.89,260652,,,
10,Detailed Results,West Bengal,12,Alipurduars,6 RINKU GHOSH,FEMALE,39,GENERAL,IND,CALCULATOR,1384,9,1393,0.63,260652
10,Detailed Results,West Bengal,12,Alipurduars,7 PIJUSH KANTI SARMA,MALE,55,GENERAL,SUCI,Battery torch,1090,21,1111,0.5,260652
10,Detailed Results,West Bengal,12,Alipurduars,8 ASHIM ROY,MALE,39,SC,IND,Boat with Man and Sail,677,19,696,0.31,260652
10,Detailed Results,West Bengal,12,Alipurduars,9 KUSHAL KUMAR ROY,MALE,42,SC,IND,COCONUT FARM,613,7,620,0.28,260652
10,Detailed Results,West Bengal,12,Alipurduars,10 ABINASH DAS,MALE,58,GENERAL,IND,Table,267,3,270,0.12,260652
10,Detailed Results,TURN OUT,,,,TOTAL:,219217,3515,222732,85.45,,,,,
10,Detailed Results,West Bengal,13,Falakata,1 DIPAK BARMAN,MALE,46,SC,BJP,Lotus,101833,1160,102993,46.71,254554
10,Detailed Results,West Bengal,13,Falakata,2 SUBHASH CHANDRA ROY,MALE,49,SC,AITC,Flowers and Grass,98181,822,99003,44.9,254554
10,Detailed Results,West Bengal,13,Falakata,3 KSHITISH CHANDRA RAY,MALE,51,SC,CPI(M),"Hammer, Sickle and Star",10496,276,10772,4.89,254554
10,Detailed Results,West Bengal,13,Falakata,4 NOTA,NOTA,NOTA,1964,6,1970,0.89,254554,,,
10,Detailed Results,West Bengal,13,Falakata,5 DIPAK CHANDRA MANDAL (SANTOSH),MALE,37,SC,IND,Football Player,1675,3,1678,0.76,254554
10,Detailed Results,West Bengal,13,Falakata,6 SWAPAN ROY,MALE,27,SC,IND,SHIP,1639,6,1645,0.75,254554
10,Detailed Results,West Bengal,13,Falakata,7 TAPAN ADHIKARI,MALE,32,SC,SWJP,Football,1367,10,1377,0.62,254554
10,Detailed Results,West Bengal,13,Falakata,8 TARANI ROY,MALE,63,SC,SUCI,Battery torch,608,5,613,0.28,254554
10,Detailed Results,West Bengal,13,Falakata,9 BIMAL ROY,MALE,55,SC,AMB,Triangle,446,3,449,0.2,254554
10,Detailed Results,TURN OUT,,,,TOTAL:,218209,2291,220500,86.62,,,,,
10,Detailed Results,West Bengal,14,Madarihat,1 MANOJ TIGGA,MALE,48,ST,BJP,Lotus,89913,805,90718,54.35,212651
10,Detailed Results,West Bengal,14,Madarihat,2 RAJESH LAKRA,MALE,45,ST,AITC,Flowers and Grass,60591,442,61033,36.56,212651
10,Detailed Results,West Bengal,14,Madarihat,3 SUBHASH LOHAR,MALE,48,ST,RSP,Spade & Stoker,6983,89,7072,4.24,212651
10,Detailed Results,West Bengal,14,Madarihat,4 NOTA,NOTA,NOTA,2607,15,2622,1.57,212651,,,
10,Detailed Results,West Bengal,14,Madarihat,5 UTTAM BARUA,MALE,41,ST,BSP,Elephant,1687,9,1696,1.02,212651
10,Detailed Results,West Bengal,14,Madarihat,6 VIVEK PRADEEP TETE,MALE,37,ST,BTP,Cot,1536,4,1540,0.92,212651
10,Detailed Results,West Bengal,14,Madarihat,7 PANCHU ORAON,MALE,37,ST,NPEP,Book,1261,11,1272,0.76,212651
10,Detailed Results,West Bengal,14,Madarihat,8 SUDHIST BARAIK,MALE,43,ST,SUCI,Battery torch,961,6,967,0.58,212651
10,Detailed Results,TURN OUT,,,,TOTAL:,165539,1381,166920,78.49,,,,,
10,Detailed Results,West Bengal,15,Dhupguri,1 BISHNU PADA RAY,MALE,58,SC,BJP,Lotus,103533,1155,104688,45.65,263118
10,Detailed Results,West Bengal,15,Dhupguri,2 MITALI ROY,FEMALE,47,SC,AITC,Flowers and Grass,99293,1040,100333,43.75,263118
10,Detailed Results,West Bengal,15,Dhupguri,3 PRADIP KUMAR ROY,MALE,46,SC,CPI(M),"Hammer, Sickle and Star",12856,251,13107,5.72,263118
10,Detailed Results,West Bengal,15,Dhupguri,4 BEDODYUTI ROY,MALE,53,SC,BSP,Elephant,2171,7,2178,0.95,263118
10,Detailed Results,West Bengal,15,Dhupguri,5 HRISHIKESH ROY,MALE,28,SC,IND,Tractor Chalata Kisan,2167,2,2169,0.95,263118
10,Detailed Results,West Bengal,15,Dhupguri,6 SUKUMAR ROY,MALE,40,SC,KPPU,Boat with Man and Sail,2144,11,2155,0.94,263118
10,Detailed Results,West Bengal,15,Dhupguri,7 NOTA,NOTA,NOTA,1976,8,1984,0.87,263118,,,
10,Detailed Results,West Bengal,15,Dhupguri,8 DHIRANJAN ROY,MALE,37,SC,SUCI,Battery torch,1604,9,1613,0.7,263118
10,Detailed Results,West Bengal,15,Dhupguri,9 SUJAN BARMAN,MALE,33,SC,IND,Football,1090,6,1096,0.48,263118
10,Detailed Results,TURN OUT,,,,TOTAL:,226834,2489,229323,87.16,,,,,
10,Detailed Results,West Bengal,16,Maynaguri,1 Kaushik Roy,MALE,37,SC,BJP,Lotus,113928,1378,115306,48.84,264265
10,Detailed Results,West Bengal,16,Maynaguri,2 Manoj Roy,MALE,50,SC,AITC,Flowers and Grass,102341,1054,103395,43.79,264265
10,Detailed Results,West Bengal,16,Maynaguri,3 Naresh Chandra Roy,MALE,66,SC,RSP,Spade & Stoker,5592,168,5760,2.44,264265
10,Detailed Results,West Bengal,16,Maynaguri,4 NOTA,NOTA,NOTA,3072,23,3095,1.31,264265,,,
10,Detailed Results,West Bengal,16,Maynaguri,5 Biswanath Roy,MALE,46,SC,KPPU,Boat with Man and Sail,2843,25,2868,1.21,264265
10,Detailed Results,West Bengal,16,Maynaguri,6 Uday Shankar Adhikari,MALE,68,SC,CPI(ML)(L),Flag with Three Stars,1546,9,1555,0.66,264265
10,Detailed Results,West Bengal,16,Maynaguri,7 Ganesh Mandal,MALE,54,SC,BSP,Elephant,1539,11,1550,0.66,264265
10,Detailed Results,West Bengal,16,Maynaguri,8 Bilash Sarkar,MALE,32,SC,IND,Football,1075,4,1079,0.46,264265
10,Detailed Results,West Bengal,16,Maynaguri,9 Shyamal Roy,MALE,38,SC,SUCI,Battery torch,737,8,745,0.32,264265
10,Detailed Results,West Bengal,16,Maynaguri,10 Binay Sarkar,MALE,50,SC,AMB,COMPUTER,737,3,740,0.31,264265
10,Detailed Results,TURN OUT,,,,TOTAL:,233410,2683,236093,89.34,,,,,
10,Detailed Results,West Bengal,17,Jalpaiguri,1 DR. PRADIP KUMAR BARMA,MALE,66,SC,AITC,Flowers and Grass,93648,2020,95668,42.34,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,2 SOUJIT SINGHA (PIKU),MALE,47,SC,BJP,Lotus,92373,2354,94727,41.93,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,3 SUKHBILAS BARMA,MALE,75,SC,INC,Hand,23173,1055,24228,10.72,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,4 NOTA,NOTA,NOTA,3334,47,3381,1.5,262500,,,
10,Detailed Results,West Bengal,17,Jalpaiguri,5 SUBHASH KUMAR SARKAR,MALE,53,SC,BSP,Elephant,1590,19,1609,0.71,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,6 RAKHI SARKAR,FEMALE,31,SC,IND,Basket containing Fruits,1537,19,1556,0.69,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,7 HAREKRISHNA SARKAR,MALE,49,SC,IND,Football Player,1142,5,1147,0.51,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,8 ISWAR BARAI,MALE,31,SC,AMB,Boat with Man and Sail,999,12,1011,0.45,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,9 HARIDAS BISWAS,MALE,37,SC,IND,Football,949,13,962,0.43,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,10 PALENDRA NATH ROY,MALE,41,SC,SUCI,Battery torch,884,14,898,0.4,262500
10,Detailed Results,West Bengal,17,Jalpaiguri,11 PRAHLAD ROY,MALE,33,SC,IND,SHIP,725,21,746,0.33,262500
10,Detailed Results,TURN OUT,,,,TOTAL:,220354,5579,225933,86.07,,,,,
10,Detailed Results,West Bengal,18,Rajganj,1 KHAGESWAR ROY,MALE,69,SC,AITC,Flowers and Grass,103587,1054,104641,48.5,244163
10,Detailed Results,West Bengal,18,Rajganj,2 SUPEN ROY,MALE,60,SC,BJP,Lotus,87822,1046,88868,41.19,244163
10,Detailed Results,West Bengal,18,Rajganj,3 RATAN KUMAR ROY,MALE,46,SC,CPI(M),"Hammer, Sickle and Star",11897,211,12108,5.61,244163
10,Detailed Results,West Bengal,18,Rajganj,4 NOTA,NOTA,NOTA,3161,14,3175,1.47,244163,,,
10,Detailed Results,West Bengal,18,Rajganj,5 TAPATI ROY (BARMAN),FEMALE,31,SC,KPPU,Ganna Kisan,1851,9,1860,0.86,244163
10,Detailed Results,West Bengal,18,Rajganj,6 UDAY ROY,MALE,53,SC,SUCI,Battery Torch,1590,15,1605,0.74,244163
10,Detailed Results,West Bengal,18,Rajganj,7 SANTI KISHOR BARARI,MALE,63,SC,BSP,Elephant,1498,12,1510,0.7,244163
10,Detailed Results,West Bengal,18,Rajganj,8 DIGBIJAY MANDAL,MALE,60,SC,IND,Football,1137,9,1146,0.53,244163
10,Detailed Results,West Bengal,18,Rajganj,9 NIRODE CHANDRA ADHIKARY,MALE,68,SC,AMB,Boat with Man and Sail,833,9,842,0.39,244163
10,Detailed Results,TURN OUT,,,,TOTAL:,213376,2379,215755,88.37,,,,,
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,1 Sikha Chatterjee,FEMALE,68,GENERAL,BJP,Lotus,128302,786,129088,49.85,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,2 Goutam Deb,MALE,64,GENERAL,AITC,Flowers and Grass,100844,651,101495,39.19,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,3 Dilip Singh,MALE,54,GENERAL,CPI(M),"Hammer, Sickle and Star",17747,251,17998,6.95,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,4 NOTA,NOTA,NOTA,3358,21,3379,1.3,310354,,,
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,5 Radhakrishna Namadas,MALE,47,SC,BSP,Elephant,1391,4,1395,0.54,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,6 Maheswar Barman,MALE,43,SC,IND,Pen Nib with Seven Rays,1388,3,1391,0.54,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,7 Rakhi Mandal,FEMALE,42,GENERAL,IND,Hat,1087,6,1093,0.42,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,8 Subash Biswas,MALE,67,SC,IND,COCONUT FARM,1047,5,1052,0.41,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,9 Amitav Naskar,MALE,35,SC,RPI(A),Apple,876,5,881,0.34,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,10 Shambhu Sutradhar,MALE,59,GENERAL,AMB,Boat with Man and Sail,646,4,650,0.25,310354
10,Detailed Results,West Bengal,19,Dabgram-Fulbari,11 Maniul Islam,MALE,49,GENERAL,SUCI,Battery torch,544,3,547,0.21,310354
10,Detailed Results,TURN OUT,,,,TOTAL:,257230,1739,258969,83.44,,,,,
10,Detailed Results,West Bengal,20,Mal,1 BULU CHIK BARAIK,MALE,61,ST,AITC,Flowers and Grass,98697,389,99086,46.46,255570
10,Detailed Results,West Bengal,20,Mal,2 MAHESH BAGEY,MALE,41,ST,BJP,Lotus,93106,515,93621,43.9,255570
10,Detailed Results,West Bengal,20,Mal,3 MANU ORAON,MALE,39,ST,CPI(M),"Hammer, Sickle and Star",10797,132,10929,5.12,255570
