ac_no,ac_name,villages_mapped,total_population,total_males,total_females,sc_pop,st_pop,literates,total_workers,agri_labourers,cultivators,household_industry_workers,other_workers,no_households,non_workers
101,ASHOKNAGAR,56,107110,55003,52107,15325,2688,76666,38379,10640,6633,1000,12998,25000,68731
102,AMDANGA,50,129069,66372,62697,26598,1354,91488,46851,12732,7463,928,17260,29276,82218
104,NAIHATI,21,47641,24354,23287,9233,2169,36477,16838,2597,1796,575,9824,11365,30803
106,JAGATDAL,10,33207,16973,16234,10268,2137,23150,11757,3035,1433,316,5384,7587,21450
107,NOAPARA,7,17018,8686,8332,3703,370,12962,6083,351,267,170,4508,4052,10935
109,KHARDAH,13,43916,22639,21277,7918,1112,31149,15236,1080,837,464,10400,10104,28680
115,RAJARHAT NEW TOWN,36,84575,43498,41077,34226,2945,60029,28563,3678,3397,1251,15410,18876,56012
118,MADHYAMGRAM,35,67282,34814,32468,6329,1634,46662,23033,4109,2607,793,12307,14571,44249
119,BARASAT,6,26673,13616,13057,1782,148,19185,9146,1147,652,467,5156,6098,17527
120,DEGANGA,79,220368,112841,107527,26274,3001,150046,78141,18871,13042,2319,25605,49715,142227
121,HAROA,97,247077,127136,119941,39106,11497,165221,84067,21905,11414,2614,30186,53814,163010
122,MINAKHAN (SC),79,208576,106948,101628,57013,17343,128991,71517,19614,10793,1468,17605,45109,137059
123,SANDESHKHALI (ST),44,256053,130416,125637,92824,63697,155892,96158,24373,11798,1239,21305,58851,159895
124,BASIRHAT DAKSHIN,49,135824,69573,66251,17200,2950,86972,50359,10755,6940,2936,20958,30283,85465
125,BASIRHAT UTTAR,79,226781,116053,110728,36277,8132,149047,82944,20123,9352,3664,31658,51766,143837
126,HINGALGANJ (SC),64,234898,119965,114933,144496,17811,158160,98507,23347,11766,5113,17869,59549,136391
127,GOSABA (SC),49,212404,108416,103988,124706,19599,147295,93386,18838,11902,1096,10980,49891,119018
128,BASANTI (SC),45,270222,137219,133003,90467,12344,151080,103135,22019,14933,3211,14920,55804,167087
129,KULTALI (SC),44,257985,132229,125756,100166,3018,150686,99593,20521,16150,3414,14812,51014,158392
130,PATHARPRATIMA,58,230472,117561,112911,53970,1644,165568,95022,16356,11474,1114,16212,47803,135450
131,KAKDWIP,29,177995,90880,87115,53140,1395,125311,63596,9567,7470,1076,17181,38964,114399
132,SAGAR,53,237980,122390,115590,64091,1140,177047,91813,16660,15667,1379,18852,50774,146167
133,KULPI,100,162137,82925,79212,49520,210,106976,54125,9397,4734,1902,17104,34314,108012
134,RAIDIGHI,57,273364,140625,132739,76578,5243,181360,98622,20094,13944,3150,21135,56473,174742
135,MANDIRBAZAR (SC),106,203320,104562,98758,90279,92,131974,67443,8308,4477,2093,25770,42851,135877
136,JAYNAGAR (SC),42,170074,87236,82838,72504,64,105038,59133,10054,5819,3857,21045,34872,110941
137,BARUIPUR PURBA (SC),58,203042,104166,98876,84155,544,126476,68820,12395,6537,3193,24901,42906,134222
138,CANNING PASCHIM (SC),43,153114,78128,74986,66123,2576,84211,52916,9560,8518,2547,12972,30414,100198
139,CANNING PURBA,74,266883,136049,130834,64979,13746,154065,90181,21405,12122,1598,18918,53895,176702
140,BARUIPUR PASCHIM,38,87470,44681,42789,37391,80,62329,32251,3397,3949,1074,14682,19999,55219
141,MAGRAHAT PURBA (SC),50,159401,81944,77457,67489,26,107382,54255,7512,5752,3491,21173,33877,105146
142,MAGRAHAT PASCHIM,59,164726,84337,80389,41773,369,104747,53938,5936,4651,4559,21085,33861,110788
143,DIAMOND HARBOUR,91,194976,99840,95136,44031,3019,131031,69806,8979,5876,2464,30623,42573,125170
144,FALTA,97,172084,87792,84292,46336,1495,116436,62629,8949,5533,2687,27167,39248,109455
145,SATGACHHIA,72,178073,91102,86971,43279,220,125397,65220,9068,4589,4855,27964,40484,112853
146,BISHNUPUR (SC),83,204408,104863,99545,102960,136,142058,74591,7918,7156,5975,32743,45682,129817
147,SONARPUR DAKSHIN,17,43927,22390,21537,20760,413,31176,16039,1876,1828,541,8828,10292,27888
148,BHANGAR,65,237394,122084,115310,51174,1910,153066,81203,14780,17487,3870,29726,48718,156191
151,SONARPUR UTTAR,16,56056,28766,27290,32374,1453,39669,21376,2160,2707,365,10894,12900,34680
153,BEHALA PURBA,4,10274,5122,5152,2295,48,8023,4213,253,150,76,3104,2698,6061
156,BUDGE BUDGE,15,37464,19100,18364,16230,14,26785,13850,1430,708,920,7147,9002,23614
174,SANKRAIL (SC),8,20646,10603,10043,8169,62,14329,8064,228,290,1891,4238,4581,12582
175,PANCHLA,29,67335,34617,32718,17933,541,47335,26447,2226,1636,5621,9491,14457,40888
176,ULUBERIA PURBA,5,12157,6318,5839,3387,5,8999,4402,204,254,332,2611,2658,7755
177,ULUBERIA UTTAR (SC),31,101664,52093,49571,36167,59,68982,37055,5915,2870,3973,15441,22641,64609
178,ULUBERIA DAKSHIN,58,140187,71477,68710,34922,209,95620,50726,8651,4564,5711,15731,30136,89461
179,SHYAMPUR,74,158325,80574,77751,26650,776,112865,57939,9406,5446,2179,20998,35892,100386
180,BAGNAN,54,159876,82691,77185,18620,702,115936,60817,8522,5092,2559,26801,34737,99059
181,AMTA,64,188494,97225,91269,51349,285,135343,69612,10427,7556,3862,30502,41160,118882
182,UDAYNARAYANPUR,91,206885,106357,100528,47901,1584,151485,83873,14232,9889,7678,37007,46646,123012
183,JAGATBALLAVPUR,57,114768,58394,56374,32006,1175,77481,44010,4710,3647,7435,19631,24343,70758
184,DOMJUR,8,25296,12726,12570,6756,70,18502,10444,342,462,1441,6698,5840,14852
185,UTTARPARA,1,958,473,485,695,4,707,348,26,12,3,143,233,610
186,SREERAMPUR,8,24237,12342,11895,6265,292,17602,8270,804,424,431,5291,5268,15967
187,CHAMPDANI,2,5801,2943,2858,3555,3,4094,2247,220,245,67,1393,1451,3554
188,SINGUR,66,129914,65810,64104,23705,3164,95823,51179,6683,8774,3494,22706,30017,78735
190,CHUNCHURA,36,56603,28613,27990,15252,7137,40317,24784,7032,3005,495,8624,13511,31819
191,BALAGARH (SC),93,139400,71095,68305,46109,14597,98636,58617,18450,10194,1430,13723,33833,80783
192,PANDUA,119,194360,98034,96326,65074,31410,131175,87687,26259,10584,2047,17240,45384,106673
193,SAPTAGRAM,70,116058,58952,57106,44525,9221,79579,52460,17929,7432,1514,11949,27392,63598
194,CHANDITALA,16,37854,19260,18594,8528,272,28876,13785,1124,921,754,9170,8516,24069
195,JANGIPARA,91,155004,78504,76500,47453,5145,111183,60847,14363,7213,4394,20769,33806,94157
196,HARIPAL,125,215811,109279,106532,58733,11727,153557,84301,20390,12463,4449,28515,48814,131510
197,DHANEKHALI (SC),177,232300,116850,115450,71098,33845,158547,103718,32530,16704,2622,21121,55484,128582
198,TARAKESWAR,95,172067,87621,84446,46799,10784,123119,72175,16319,12274,1776,20005,40331,99892
199,PURSURAH,96,248614,127184,121430,75144,2111,174174,93968,20632,18008,2409,26061,56355,154646
200,ARAMBAG (SC),115,209064,107144,101920,72413,3870,148171,80289,18865,12444,3053,20355,47168,128775
201,GOGHAT (SC),175,234366,120086,114280,83811,13693,163252,92459,24832,21810,1939,21357,51718,141907
202,KHANAKUL,85,240672,122882,117790,64726,2314,169357,88857,15022,14384,5322,32047,53042,151815
203,TAMLUK,77,176410,91153,85257,10869,127,136473,66213,8567,6344,2632,24591,39467,110197
204,PANSKURA PURBA,73,159184,82283,76901,12036,616,119202,59985,5799,7537,5038,22853,34203,99199
205,PANSKURA PASCHIM,149,197288,101586,95702,17610,8708,145214,90585,13037,13658,6436,21715,43652,106703
206,MOYNA,91,215344,111890,103454,49408,262,163819,84435,15988,12922,2839,15252,50622,130909
207,NANDAKUMAR,96,235587,121628,113959,34502,511,177304,93448,13227,13210,4108,21328,52747,142139
208,MAHISADAL,62,183262,94654,88608,19547,440,139341,66491,9673,5825,1487,20434,40525,116771
209,HALDIA (SC),37,60266,30987,29279,21369,158,44510,19032,2111,788,276,5666,13076,41234
210,NANDIGRAM,83,202854,104249,98605,25979,421,151466,67232,10902,6155,1064,13579,42644,135622
211,CHANDIPUR,112,204500,105723,98777,25742,411,157777,76687,8809,6537,2200,15163,45566,127813
212,PATASHPUR,121,166339,85999,80340,19171,1265,126226,65141,12042,14646,1852,8870,37781,101198
213,KANTHI UTTAR,205,235402,121175,114227,31743,221,185690,93373,15238,11925,2176,23359,50883,142029
214,BHAGABANPUR,182,227139,117085,110054,37626,209,180705,87507,14973,10037,1575,15963,52874,139632
215,KHEJURI (SC),97,212400,109107,103293,70004,753,163521,77778,8663,7614,1133,16971,44039,134622
216,KANTHI DAKSHIN,168,143571,74074,69497,21734,99,113828,53293,8313,5117,1069,16406,30873,90278
217,RAMNAGAR,145,190755,97635,93120,22806,652,150986,68154,14205,10554,790,18516,39280,122601
218,EGRA,106,175217,90554,84663,23053,1813,130879,71546,15972,18055,991,10870,37435,103671
219,DANTAN,173,214778,110053,104725,20671,14874,152481,75339,18441,20922,770,10421,45647,139439
220,NAYAGRAM (ST),496,243013,123635,119378,59578,78842,143064,109264,25267,16083,2842,11026,53060,133749
221,GOPIBALLAVPUR,498,215649,109088,106561,42779,46568,141208,98174,22505,18969,1272,10262,48321,117475
222,JHARGRAM,586,206554,104838,101716,46067,52624,128655,92781,19351,14261,1347,10754,45025,113773
223,KESHIARY (ST),291,240638,122067,118571,46686,61330,160124,99905,21227,16341,1292,11849,54986,140733
225,NARAYANGARH,333,224206,113892,110314,41219,47000,154909,99128,24760,17453,1715,13115,50926,125078
226,SABANG,236,298346,153452,144894,33207,14552,228629,162902,26303,28932,5549,18555,69896,135444
227,PINGLA,350,243612,123819,119793,36700,46367,169513,110134,25243,17562,1679,16456,58207,133478
228,KHARAGPUR,239,197237,100014,97223,32431,41872,125363,79064,22750,8923,1350,23365,44528,118173
229,DEBRA,332,189565,95969,93596,23584,38879,137699,86090,19204,15169,2090,13928,43532,103475
230,DASPUR,131,229536,117054,112482,35907,1821,174960,88862,10289,16808,4813,32576,48835,140674
231,GHATAL (SC),122,164255,84657,79598,47800,3165,118906,65409,11491,15767,3391,14932,35080,98846
232,CHANDRAKONA (SC),180,192158,98195,93963,58837,11171,136886,75280,17135,20936,2220,10341,42183,116878
233,GARBETA,325,222887,113729,109158,61569,19263,143354,88235,23141,20848,954,11784,46364,134652
234,SALBONI,388,240278,122121,118157,43278,45824,156839,111829,24096,21823,1959,14999,49474,128449
235,KESHPUR (SC),542,339654,174038,165616,81563,22423,232770,134064,28925,35274,3624,17170,70450,205590
236,MEDINIPUR,262,126483,64276,62207,25962,22057,80526,54951,12232,8365,1076,9008,26778,71532
237,BINPUR (ST),593,227598,114992,112606,38517,78245,144540,105668,13867,9353,1881,12536,52234,121930
238,BANDWAN (ST),328,253524,128061,125463,17851,91760,136589,128993,20914,21219,1714,11440,51277,124531
239,BALARAMPUR,143,239068,122338,116730,30784,55569,120345,102553,10925,15259,2039,20985,45021,136515
240,BAGHMUNDI,248,251434,128427,123007,32603,48147,129282,113249,13214,20765,3632,15878,50869,138185
241,JOYPUR,215,269174,137645,131529,29480,35058,123891,115375,7927,18116,18872,16611,50030,153799
242,PURULIA,139,176922,90180,86742,42917,12777,95738,74586,6602,9848,1302,14573,33371,102336
243,MANBAZAR (ST),258,217053,109997,107056,34857,51299,124791,107011,16901,15843,1301,11448,44994,110042
244,KASHIPUR,233,215618,109727,105891,58912,55063,129428,97837,12040,13820,1428,15962,43350,117781
245,PARA (SC),182,232559,119448,113111,81911,16723,134768,90520,8480,10726,1423,21516,43047,142039
246,RAGHUNATHPUR (SC),252,202377,103663,98714,63799,45440,115581,76220,6869,8356,1316,21554,39219,126157
247,SALTORA (SC),216,248227,127631,120596,80880,27138,143252,96507,12764,14467,1947,25633,51224,151720
248,CHHATNA,424,320488,163913,156575,110391,50453,189000,131396,19481,16611,2309,27853,65845,189092
249,RANIBANDH (ST),327,258900,131889,127011,47628,87621,156967,114459,23061,15384,1227,16335,55727,144441
250,RAIPUR (ST),288,221139,112545,108594,50852,51054,140544,97732,17007,15043,2283,11961,46829,123407
251,TALDANGRA,300,250376,127715,122661,67641,32800,155248,105168,21423,16680,1846,14926,52665,145208
252,BANKURA,203,184556,94070,90486,53297,14541,119466,71566,11885,10341,2413,23394,38722,112990
253,BARJORA,169,187673,96298,91375,62450,5734,115229,74060,13235,12772,1415,16864,40486,113613
254,ONDA,230,268718,137523,131195,77991,11597,160251,104944,23253,20316,3209,23606,56147,163774
255,BISHNUPUR,158,160781,81894,78887,40241,21362,97861,68886,17406,12601,953,10934,34233,91895
256,KATULPUR (SC),193,235095,120004,115091,77328,11277,160488,95670,22451,21402,2303,18327,51170,139425
257,INDUS (SC),205,251564,128380,123184,105579,7743,160047,104871,29304,21030,2191,17807,55196,146693
258,SONAMUKHI (SC),166,192685,98738,93947,75373,9865,114938,85570,28672,18376,1522,13613,42431,107115
259,KHANDAGHOSH (SC),137,242455,123656,118799,90732,10579,160927,100316,30653,15071,1573,20190,55461,142139
261,RAINA (SC),161,279028,142802,136226,91850,15689,197595,108001,33199,19707,1529,23846,62823,171027
262,JAMALPUR (SC),111,234686,118764,115922,79008,27629,159339,99875,38560,16994,2176,19528,55281,134811
263,MONTESWAR,156,275391,140228,135163,68701,21694,183361,106215,37470,18099,3342,20794,63213,169176
264,KALNA (SC),120,201420,102384,99036,68391,24659,138141,81018,24829,13134,2502,21285,46877,120402
265,MEMARI,161,301900,153986,147914,98784,34756,205355,130021,40862,16999,5347,32363,69489,171879
266,BARDHAMAN UTTAR (SC),120,262539,133018,129521,89429,19344,174456,107036,28443,13425,2108,33445,60745,155503
267,BHATAR,98,255390,130184,125206,80679,21439,165531,108363,38732,18238,2070,19501,58348,147027
268,PURBASTHALI DAKSHIN,137,250826,128354,122472,71047,18978,168081,99709,26556,14541,7684,23197,58397,151117
269,PURBASTHALI  UTTAR,167,382162,196673,185489,107894,16343,247533,147372,48180,25884,7890,33589,89062,234790
270,KATWA,96,215080,111000,104080,62721,4529,136767,77019,25522,15305,2981,19848,49607,138061
271,KETUGRAM,120,286293,147580,138713,89951,4898,170998,102345,35004,20264,4209,19324,65523,183948
272,MANGALKOT,165,343015,175615,167400,101762,12848,212619,130364,44049,23934,3318,23911,78166,212651
273,AUSGRAM (SC),130,236813,120441,116372,83433,28211,145063,103576,27466,13943,1754,16641,57495,133237
274,GALSI (SC),141,279695,143298,136397,98637,19714,181730,120604,25412,15593,1677,27032,65313,159091
275,PANDABESWAR,112,128634,65919,62715,32463,18339,77742,48666,7840,5662,486,14112,27619,79968
276,DURGAPUR PURBA,47,64012,32770,31242,22165,7129,41421,28705,4413,3250,469,6857,14267,35307
278,RANIGANJ,13,34685,18120,16565,13483,1833,23019,11723,933,720,293,4961,7558,22962
279,JAMURIA,61,98738,51211,47527,31258,7797,60078,35131,6496,5163,924,11192,21045,63607
280,ASANSOL DAKSHIN,9,18805,9747,9058,7136,3282,11656,6163,354,285,67,3538,3786,12642
283,BARABANI,164,240084,123561,116523,66790,32150,150395,87899,10333,8998,1526,35782,49828,152185
284,DUBRAJPUR (SC),235,264882,136158,128724,89323,11841,160607,98687,21587,17000,2645,20608,58498,166195
285,SURI,302,294921,150784,144137,89565,32763,183786,119513,27339,19549,2719,26821,66096,175408
286,BOLPUR,154,236695,121553,115142,56269,22546,156775,92117,21288,14118,2011,19505,54553,144578
287,NANOOR (SC),276,455418,233228,222190,139547,28689,286990,176046,54826,33077,4274,35401,105211,279372
288,LABPUR,236,289519,148430,141089,95134,25255,184652,112522,28502,18805,2763,19557,66603,176997
289,SAINTHIA (SC),282,352027,180245,171782,104798,28232,229275,141449,37961,23045,3682,31079,81106,210578
290,MAYURESWAR,304,419340,214016,205324,125682,24364,270124,170079,47786,29473,4549,34488,97592,249261
291,RAMPURHAT,128,235216,120093,115123,70729,35140,144951,92433,22964,14869,1650,23321,53747,142783
292,HANSAN,129,239584,122825,116759,65727,6103,151413,86441,30422,13401,2673,13058,59052,153143
293,NALHATI,108,259387,132969,126418,74041,8312,163253,91439,28173,15719,1724,16606,60498,167948
294,MURARAI,99,276932,141135,135797,60748,4753,142199,100320,33290,11331,5892,22626,62715,176612
