ac_no,ac_name,district,reservation,pop_total,pop_male,pop_female,pop_0_6,sc_pop,st_pop,literates,illiterates,households,total_workers,main_workers,cultivators,agri_labourers,hh_industry_workers,other_workers,sex_ratio,child_ratio_0_6,sc_pct,st_pct,literacy_pct,female_literacy_pct,workforce_participation_pct,agri_worker_share_pct,other_worker_share_pct,electors_2021,polling_pct_2021,nota_2021,total_valid_votes_2021,candidates_2021,winner_2021,winner_party_2021,winner_sex_2021,winner_age_2021,winner_vote_pct_2021,electors_2011,polling_pct_2011,nfhs_under15_pct,nfhs_sex_ratio,nfhs_female_school_pct,nfhs_tfr
11,kalchini,jalpaiguri,GEN,359415,186078,173337,41838,45001,142327,220873,138542,76598,146122,107381,11072,8729,1571,86007,932.0,11.64,12.52,39.6,69.55,60.92,40.66,13.55,58.86,247425,79.32,2370,193438,12,1 BISHAL LAMA,BJP,MALE,39,52.65,182539,84.74,22.6,1038.0,,
12,alipurduars,jalpaiguri,GEN,341368,175250,166117,36100,150730,37086,244177,97190,80387,133325,105936,17563,23195,1736,63440,948.0,10.58,44.15,10.86,79.99,74.66,39.06,30.57,47.58,260652,85.68,1950,220751,10,1 SUMAN KANJILAL,BJP,MALE,50,48.19,201029,86.2,22.6,1038.0,,
13,falakata,jalpaiguri,GEN,312044,160585,151458,37303,131188,48553,199986,112058,70692,122022,96037,22683,31901,1459,39992,943.0,11.95,42.04,15.56,72.79,66.15,39.1,44.73,32.77,254554,86.77,1964,218530,9,1 DIPAK BARMAN,BJP,MALE,46,46.71,189459,86.65,22.6,1038.0,,
14,madarihat,jalpaiguri,GEN,240108,120215,119893,29267,33007,100038,140752,99356,52255,97006,68660,5581,4711,605,57762,997.0,12.19,13.75,41.66,66.76,58.27,40.4,10.61,59.54,212651,78.65,2607,164298,8,1 MANOJ TIGGA,BJP,MALE,48,54.35,161332,82.66,22.6,1038.0,,
15,dhupguri,jalpaiguri,GEN,368817,188947,179870,46284,199294,36025,236297,132520,82377,147841,109651,25947,36338,1615,45750,952.0,12.55,54.04,9.77,73.26,66.3,40.09,42.13,30.95,263118,87.27,1976,227339,9,1 BISHNU PADA RAY,BJP,MALE,58,45.65,200408,87.07,22.6,1038.0,,
16,maynaguri,jalpaiguri,GEN,337251,174328,162923,42804,239342,4492,222059,115191,78369,123042,98095,32623,29240,1386,34844,935.0,12.69,70.97,1.33,75.42,68.61,36.48,50.28,28.32,264265,89.52,3072,232998,10,1 Kaushik Roy,BJP,MALE,37,48.84,198615,87.85,22.6,1038.0,,
17,jalpaiguri,jalpaiguri,GEN,353845,180326,173519,37765,176162,6226,252773,101072,82987,142581,111700,18767,20182,1014,71737,962.0,10.67,49.79,1.76,79.97,74.69,40.29,27.32,50.31,262500,86.34,3334,222552,11,1 DR. PRADIP KUMAR BARMA,AITC,MALE,66,42.34,208102,85.42,22.6,1038.0,,
18,rajganj,jalpaiguri,GEN,251429,130302,121127,31403,127641,23347,159220,92209,54967,96220,75239,13413,16414,1396,44016,930.0,12.49,50.77,9.29,72.36,64.92,38.27,31.0,45.75,244163,89.13,4580,212580,9,1 KHAGESWAR ROY,AITC,MALE,69,48.5,178412,89.71,22.6,1038.0,,
19,dabgram phulbari,jalpaiguri,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,310354,83.55,3358,255590,11,1 Sikha Chatterjee,BJP,FEMALE,68,49.85,209696,83.68,22.6,1038.0,,
20,mal,jalpaiguri,GEN,288976,146461,142515,36770,72622,96020,171777,117199,62446,110111,81975,11044,13174,1070,56686,973.0,12.72,25.13,33.23,68.11,60.4,38.1,21.99,51.48,255570,83.49,4688,208556,6,1 BULU CHIK BARAIK,AITC,MALE,61,46.46,182501,85.71,22.6,1038.0,,
21,nagrakata,jalpaiguri,GEN,314743,158889,155853,39406,41811,147016,177235,137508,67547,127055,90920,4839,6859,838,78383,981.0,12.52,13.28,46.71,64.37,54.42,40.37,9.21,61.69,237305,80.59,5448,185715,7,1 PUNA BHENGRA,BJP,MALE,46,49.55,183655,83.76,22.6,1038.0,,
22,kalimpong,darjiling,GEN,279303,142217,137085,27483,19363,85224,204576,74726,57265,106939,69069,16247,6087,1255,45479,964.0,9.84,6.93,30.51,81.24,75.24,38.29,20.89,42.53,211896,73.14,2142,152703,9,1 RUDEN SADA LEPCHA,IND,MALE,51,37.59,166388,75.19,,,,
23,darjeeling,darjiling,GEN,307332,153354,153977,24282,18433,81459,244534,62797,62876,114124,86349,11218,2642,1025,71462,1004.0,7.9,6.0,26.51,86.39,81.22,37.13,12.15,62.62,246663,68.9,2495,166035,10,1 NEERAJ TAMANG ZIMBA,BJP,MALE,39,40.88,217964,70.97,,,,
24,kurseong,darjiling,GEN,307715,154060,153654,26604,21770,92849,232368,75347,65092,106780,79723,6339,3517,1705,68161,997.0,8.65,7.08,30.17,82.66,75.96,34.7,9.23,63.83,236477,74.62,2762,173128,9,1 Bishnu Prasad Sharma (alias B.P. Bajgain),BJP,MALE,52,41.86,197531,78.42,,,,
25,matigara naxalbari,darjiling,GEN,321052,164223,156829,38073,100280,53149,213886,107166,69681,119871,102826,4635,3623,2058,92510,955.0,11.86,31.23,16.55,75.58,68.15,37.34,6.89,77.17,287565,83.7,3888,236679,7,1 Anandamay Barman,BJP,MALE,38,58.1,194062,84.8,,,,
26,siliguri,darjiling,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,228406,78.48,2035,176576,11,1 Sankar Ghosh,BJP,MALE,48,50.03,184303,81.34,,,,
27,phansidewa,darjiling,GEN,309429,157142,152287,42936,112324,83854,173823,135606,64584,118701,89981,13414,16711,1966,57890,969.0,13.88,36.3,27.1,65.23,56.66,38.36,25.38,48.77,240496,86.45,2564,205015,8,1 Durga Murmu,BJP,MALE,42,50.89,164907,87.5,,,,
28,chopra,uttar dinajpur,GEN,323508,167210,156298,57402,52927,20142,155980,167528,61376,102731,82541,20804,20414,1231,40091,935.0,17.74,16.36,6.23,58.62,50.46,31.76,40.12,39.03,247764,82.39,1527,202579,6,1 HAMIDUL RAHAMAN,AITC,MALE,61,61.2,167193,86.2,29.2,1093.0,,
29,islampur,uttar dinajpur,GEN,321196,165713,155482,56262,58620,8501,156049,165146,62560,99556,82426,21364,24442,841,35778,938.0,17.52,18.25,2.65,58.9,51.35,31.0,46.01,35.94,219728,77.5,1962,167998,6,1 ABDUL KARIM CHOWDHARY,AITC,MALE,74,58.91,150195,79.18,29.2,1093.0,,
30,goalpokhar,uttar dinajpur,GEN,324854,169309,155545,61590,43173,12209,111245,213609,61054,100413,80252,28234,34578,2014,15426,919.0,18.96,13.29,3.76,42.26,35.09,30.91,62.55,15.36,224633,71.95,2014,159519,8,1 MD. GHULAM RABBANI,AITC,MALE,51,65.4,170180,73.47,29.2,1093.0,,
31,chakulia,uttar dinajpur,GEN,334664,172299,162365,63832,74746,25863,125065,209599,63510,108854,78657,21599,41102,2200,13756,942.0,19.07,22.33,7.73,46.18,39.35,32.53,57.6,12.64,233378,74.35,1183,172214,7,1 AZAD MINHAJUL ARFIN,AITC,MALE,49,49.78,167013,74.97,29.2,1093.0,,
32,karandighi,uttar dinajpur,GEN,360715,185033,175682,63910,107636,21282,165136,195579,68568,142741,104077,24354,38176,7380,34167,949.0,17.72,29.84,5.9,55.64,48.34,39.57,43.81,23.94,262583,81.23,2443,210687,12,1 GOUTAM PAUL,AITC,MALE,42,54.7,182522,82.29,29.2,1093.0,,
33,hemtabad,uttar dinajpur,GEN,345165,177512,167653,51143,120420,24116,185574,159591,74814,141646,97476,32071,44888,1944,18573,944.0,14.82,34.89,6.99,63.12,56.33,41.04,54.33,13.11,265318,84.3,2154,221141,9,1 SATYAJIT BARMAN,AITC,MALE,40,52.14,185015,85.02,29.2,1093.0,,
34,kaliaganj,uttar dinajpur,GEN,328970,168787,160183,41207,174780,15157,200917,128053,73352,134682,105840,34960,34001,2159,34720,949.0,12.53,53.13,4.61,69.82,62.34,40.94,51.2,25.78,282575,84.92,2993,236719,11,1 SOUMEN ROY,BJP,MALE,45,48.71,202847,87.97,29.2,1093.0,,
35,raiganj,uttar dinajpur,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,198780,81.43,2459,158879,13,1 KRISHNA KALYANI,BJP,MALE,42,49.44,149614,84.68,29.2,1093.0,,
36,itahar,uttar dinajpur,GEN,309765,158964,150801,43599,79241,24228,159473,150291,67703,118741,89174,32642,39529,1075,15927,949.0,14.08,25.58,7.82,59.92,53.83,38.33,60.78,13.41,229362,84.98,1239,192746,9,1 MOSARAF HUSSEN,AITC,MALE,40,59.1,164111,85.58,29.2,1093.0,,
37,kushmandi,dakshin dinajpur,GEN,258738,131455,127283,33545,117337,25179,146951,111787,58596,101041,76951,35267,29014,1815,10855,968.0,12.96,45.35,9.73,65.26,58.58,39.05,63.62,10.74,219921,83.79,1590,182477,6,1 REKHA ROY,AITC,FEMALE,34,48.88,155978,89.83,23.4,1106.0,,
38,kumarganj,dakshin dinajpur,GEN,272253,140360,131893,31979,60576,43536,181316,90937,65040,114025,86616,32706,38130,2784,12996,940.0,11.75,22.25,15.99,75.46,70.53,41.88,62.12,11.4,203986,83.87,1115,169803,6,1 TORAF HOSSAIN MANDAL,AITC,MALE,61,52.52,148934,89.1,23.4,1106.0,,
39,balurghat,dakshin dinajpur,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,180390,84.57,1810,150262,9,1 Ashok Kumar Lahiri,BJP,MALE,69,47.42,139816,89.19,23.4,1106.0,,
40,tapan,dakshin dinajpur,GEN,232695,119909,112786,23736,61217,65192,152230,80465,56427,106378,77124,28900,27097,2140,18987,941.0,10.2,26.31,28.02,72.85,66.52,45.72,52.64,17.85,220236,84.7,1675,184606,8,1 BUDHRAI TUDU,BJP,MALE,48,45.29,156952,89.69,23.4,1106.0,,
41,gangarampur,dakshin dinajpur,GEN,297545,153144,144401,33212,102244,44923,189935,107610,69326,126466,93215,27292,29645,4891,31387,943.0,11.16,34.36,15.1,71.85,65.97,42.5,45.02,24.82,224040,84.68,1135,188333,7,1 SATYENDRA NATH RAY,BJP,MALE,64,46.82,159575,90.34,23.4,1106.0,,
42,harirampur,dakshin dinajpur,GEN,284368,144482,139886,37450,67238,54119,165161,119207,65479,115660,81927,28787,32170,2973,17997,968.0,13.17,23.64,19.03,66.89,60.17,40.67,52.7,15.56,228189,82.35,1818,185819,9,1 BIPLAB MITRA,AITC,MALE,69,51.23,162532,86.56,23.4,1106.0,,
43,habibpur,maldah,GEN,272155,138771,133384,33096,134193,76301,146817,125338,61333,122806,73577,30000,28302,1775,13500,961.0,12.16,49.31,28.04,61.41,53.03,45.12,47.48,10.99,249557,79.83,3085,195827,11,1 JOYEL MURMU,BJP,MALE,37,47.52,187000,84.35,30.2,1062.0,,
44,gazole,maldah,GEN,343821,174518,169302,43986,133548,70098,188844,154976,75160,145824,103902,42266,31400,1696,28538,970.0,12.79,38.84,20.39,62.98,55.91,42.41,50.52,19.57,267096,82.84,1728,219478,9,1 CHINMOY DEB BARMAN,BJP,MALE,37,45.5,186960,86.67,30.2,1062.0,,
45,chanchal,maldah,GEN,320986,165104,155882,45393,54580,1808,164440,156546,75319,118992,87347,22536,44452,1967,18392,944.0,14.14,17.0,0.56,59.67,55.26,37.07,56.3,15.46,249402,80.13,1018,198656,7,1 Nihar Ranjan Ghosh,AITC,MALE,66,58.08,171300,82.27,30.2,1062.0,,
46,harischandrapur,maldah,GEN,330187,171119,159068,55933,52369,10420,149353,180834,66251,105854,70842,22232,31705,1261,15644,930.0,16.94,15.86,3.16,54.46,50.93,32.06,50.95,14.78,252487,80.52,1008,202141,9,1 TAJMUL HOSSAIN,AITC,MALE,63,60.31,160562,83.64,30.2,1062.0,,
47,malatipur,maldah,GEN,305448,156059,149388,48629,24280,15124,145277,160171,64302,100941,72032,19773,35731,2033,14493,957.0,15.92,7.95,4.95,56.57,54.35,33.05,54.99,14.36,231907,80.03,2032,183450,7,1 ABDUR RAHIM BOXI,AITC,MALE,57,68.02,151848,83.12,30.2,1062.0,,
48,ratua,maldah,GEN,355312,183179,172133,57484,34565,24511,177142,178170,73513,115205,76713,21134,28435,3546,23596,940.0,16.18,9.73,6.9,59.48,55.6,32.42,43.03,20.48,282451,77.75,2047,217097,10,1 Samar Mukherjee,AITC,MALE,79,59.63,192832,80.42,30.2,1062.0,,
49,manickchak,maldah,GEN,383707,197950,185756,59673,84248,44308,188537,195169,84286,135069,80642,10372,29904,5763,34601,938.0,15.55,21.96,11.55,58.18,51.78,35.2,29.82,25.62,253353,81.78,1360,205624,9,1 SABITRI MITRA,AITC,FEMALE,60,53.26,174680,80.13,30.2,1062.0,,
50,maldaha,maldah,GEN,261167,135715,125451,34267,76089,35219,142002,119164,55774,104505,75061,13956,21489,2860,36755,924.0,13.12,29.13,13.49,62.58,57.79,40.01,33.92,35.17,245962,84.04,2804,203671,8,1 Gopal Chandra Saha,BJP,MALE,44,45.23,169551,86.39,30.2,1062.0,,
51,englishbazar,maldah,GEN,376853,197015,179838,56398,63439,6518,250022,126830,78653,133465,110148,3060,6066,5301,95720,913.0,14.97,16.83,1.73,78.02,75.12,35.42,6.84,71.72,275296,79.18,4974,212479,12,1 SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),BJP,FEMALE,56,49.96,208529,82.88,30.2,1062.0,,
52,mothabari,maldah,GEN,316515,162155,154359,52901,39267,4269,164648,151866,66123,134969,86076,9995,23525,19078,33476,952.0,16.71,12.41,1.35,62.46,57.79,42.64,24.84,24.8,196324,83.19,2139,161004,11,1 YEASMIN SABINA,AITC,FEMALE,43,59.7,134966,79.77,30.2,1062.0,,
53,sujapur,maldah,GEN,265470,135891,129579,44509,9292,464,150650,114820,54562,116612,81107,4030,10146,17093,49837,954.0,16.77,3.5,0.18,68.18,65.83,43.93,12.16,42.74,251186,82.79,1522,206064,11,1 Md Abdul Ghani,AITC,MALE,71,73.44,171380,78.19,30.2,1062.0,,
54,baishnab nagar,maldah,GEN,358724,184037,174687,63235,88322,21066,163019,195704,69875,161301,105820,15854,28362,31084,30518,949.0,17.63,24.62,5.87,55.17,49.41,44.97,27.41,18.92,246956,84.76,2198,206947,8,1 CHANDANA SARKAR,AITC,FEMALE,40,39.81,172528,84.34,30.2,1062.0,,
55,farakka,murshidabad,GEN,369298,187214,182083,66562,49099,6853,179350,189947,71664,161616,116495,6133,13760,48039,48561,973.0,18.02,13.3,1.86,59.24,53.3,43.76,12.31,30.05,227549,81.97,1638,184786,7,1 MANIRUL ISLAM,AITC,MALE,45,54.89,153081,88.94,29.3,1103.0,,
56,samserganj,murshidabad,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,235576,80.07,3062,185518,8,1 Amirul Islam,AITC,MALE,49,51.13,152508,86.35,29.3,1103.0,,
57,suti,murshidabad,GEN,392464,198174,194289,73263,34788,349,175056,217408,76493,176736,131771,7652,24168,67999,31951,980.0,18.67,8.86,0.09,54.84,49.75,45.03,18.0,18.08,265418,81.55,2723,213604,9,1 EMANI BISWAS,AITC,MALE,46,58.87,174931,85.98,29.3,1103.0,,
58,jangipur,murshidabad,GEN,354450,181318,173131,51750,76680,3034,207464,146986,71047,154895,121871,7074,14702,30649,69446,955.0,14.6,21.63,0.86,68.54,63.85,43.7,14.06,44.83,255064,77.78,4551,193706,10,1 JAKIR HOSSAIN,AITC,MALE,48,68.82,171691,85.56,29.3,1103.0,,
59,raghunathganj,murshidabad,GEN,256964,131442,125522,44901,22162,92,129703,127261,48572,110784,90702,4493,6690,28734,50784,955.0,17.47,8.62,0.04,61.16,57.6,43.11,10.1,45.84,249559,76.37,2935,187540,8,1 Akhruzzaman,AITC,MALE,56,66.59,168860,86.77,29.3,1103.0,,
60,sagardighi,murshidabad,GEN,317846,162432,155413,47532,62853,22705,176581,141264,69618,114806,85534,17055,40490,4001,23986,957.0,14.95,19.77,7.14,65.32,61.98,36.12,50.12,20.89,236885,78.94,1705,185111,10,1 SUBRATA SAHA,AITC,MALE,71,50.95,168136,85.64,29.3,1103.0,,
61,lalgola,murshidabad,GEN,380996,194167,186828,61330,34990,205,206974,174022,80628,131933,92815,10618,27530,9887,44779,962.0,16.1,9.18,0.05,64.75,63.35,34.63,28.92,33.94,234381,81.41,1391,189044,9,1 ALI MOHAMMAD,AITC,MALE,57,56.64,161259,88.73,29.3,1103.0,,
62,bhagabangola,murshidabad,GEN,316400,161602,154797,46616,14295,250,173742,142657,73171,98644,76321,13844,37998,2084,22393,958.0,14.73,4.52,0.08,64.4,64.06,31.18,52.56,22.7,263765,85.72,3392,222594,12,1 IDRIS ALI,AITC,MALE,70,68.05,179224,90.86,29.3,1103.0,,
63,raninagar,murshidabad,GEN,347683,177272,170411,47891,24719,1051,194643,153040,82848,118390,94350,25721,44985,4485,19157,961.0,13.77,7.11,0.3,64.93,63.69,34.05,59.72,16.18,256101,86.75,2769,219242,13,1 ABDUL SOUMIK HOSSAIN,AITC,MALE,38,60.79,186600,87.83,29.3,1103.0,,
64,murshidabad,murshidabad,GEN,342271,175399,166871,39799,69052,11308,220216,122054,78776,123542,102979,15529,32993,4568,49888,951.0,11.63,20.17,3.3,72.81,69.03,36.09,39.28,40.38,268221,85.53,2897,226327,12,1 GOURI SANKAR GHOSH,BJP,MALE,48,41.86,188558,86.92,29.3,1103.0,,
65,nabagram,murshidabad,GEN,341304,174557,166746,42605,85050,17937,215273,126030,78573,117944,92246,23228,40861,2396,25760,955.0,12.48,24.92,5.26,72.07,66.39,34.56,54.34,21.84,251378,82.97,2625,205887,5,1 KANAI CHANDRA MONDAL,AITC,MALE,67,48.18,183391,87.69,29.3,1103.0,,
66,khargram,murshidabad,GEN,326388,166852,159536,45419,68006,3265,180794,145594,77710,106811,76451,20038,37987,4175,14249,956.0,13.92,20.84,1.0,64.35,57.82,32.73,54.33,13.34,228923,81.22,1683,184251,6,1 ASHIS MARJIT,AITC,MALE,48,50.15,172961,85.77,29.3,1103.0,,
67,burwan,murshidabad,GEN,273200,140448,132751,33779,63240,2365,163001,110199,64199,90368,64205,19188,28649,2074,14293,945.0,12.36,23.15,0.87,68.08,61.93,33.08,52.94,15.82,217500,81.39,2002,174795,5,1 JIBAN KRISHNA SAHA,AITC,MALE,44,46.32,169158,83.32,29.3,1103.0,,
68,kandi,murshidabad,GEN,294333,150775,143557,37587,46718,2942,175850,118483,66167,94090,74964,24144,23177,1787,25853,952.0,12.77,15.87,1.0,68.49,62.42,31.97,50.3,27.48,238973,78.16,3121,183350,9,1 APURBA SARKAR (DAVID),AITC,MALE,57,51.16,178692,80.8,29.3,1103.0,,
69,bharatpur,murshidabad,GEN,303590,155628,147962,40345,49127,402,170600,132989,68962,104611,84656,16853,35675,7754,24373,951.0,13.29,16.18,0.13,64.81,59.72,34.46,50.21,23.3,243603,77.77,2441,186603,8,1 HUMAYUN KABIR,AITC,MALE,61,50.9,181614,81.51,29.3,1103.0,,
70,rejinagar,murshidabad,GEN,354473,182487,171986,52950,22870,563,202531,151941,76661,120208,96175,21229,30214,8772,35958,942.0,14.94,6.45,0.16,67.17,64.31,33.91,42.8,29.91,259771,81.1,1550,208885,7,1 RABIUL ALAM CHOWDHURY,AITC,MALE,61,56.31,189141,82.42,29.3,1103.0,,
71,beldanga,murshidabad,GEN,253674,130371,123302,36586,25948,2918,156428,97245,56223,83952,69675,12876,23133,3064,30599,946.0,14.42,10.23,1.15,72.06,69.34,33.09,42.89,36.45,252944,80.93,1361,203143,8,1 HASANUZZAMAN SK,AITC,MALE,47,55.19,182630,82.09,29.3,1103.0,,
72,baharampur,murshidabad,GEN,367676,188211,179464,33137,45737,7349,280611,87064,84904,133268,117002,6750,14412,2321,93518,954.0,9.01,12.44,2.0,83.88,81.56,36.25,15.88,70.17,260667,76.01,2504,195082,8,1 Subrata Maitra (Kanchan),BJP,MALE,54,45.21,206158,81.08,29.3,1103.0,,
73,hariharpara,murshidabad,GEN,314689,160816,153873,37648,17587,3242,191040,123648,76921,108516,80902,26562,33633,4148,16557,957.0,11.96,5.59,1.03,68.96,68.35,34.48,55.47,15.26,247421,87.38,1105,214958,12,1 NIAMOT SHEIKH,AITC,MALE,70,47.51,181557,90.32,29.3,1103.0,,
74,naoda,murshidabad,GEN,272525,139624,132901,33403,17968,1165,163088,109437,64237,88584,73865,20904,31831,2491,18638,952.0,12.26,6.59,0.43,68.2,67.11,32.5,59.53,21.04,247688,81.79,1301,201041,10,1 SAHINA MOMTAZ KHAN,AITC,FEMALE,55,58.16,183948,85.09,29.3,1103.0,,
75,domkal,murshidabad,GEN,319514,163462,156051,39430,9924,864,180865,138648,78272,112764,88387,22683,36516,4609,24577,955.0,12.34,3.11,0.27,64.58,63.88,35.29,52.5,21.8,266283,85.0,2413,223764,10,1 JAFIKUL ISLAM,AITC,MALE,45,56.45,193539,89.58,29.3,1103.0,,
76,jalangi,murshidabad,GEN,314481,161023,153458,41163,43131,3257,182034,132447,74955,105897,86661,22843,42421,3619,17777,953.0,13.09,13.72,1.04,66.6,64.68,33.67,61.63,16.79,261258,85.12,2540,219616,11,1 ABDUR RAZZAK,AITC,MALE,63,55.74,192844,89.23,29.3,1103.0,,
77,karimpur,nadia,GEN,308206,158682,149524,32928,47935,7131,178783,129423,82380,105406,88810,22366,44096,2959,19388,942.0,10.68,15.55,2.31,64.95,63.29,34.2,63.05,18.39,251039,88.28,1316,220178,8,1 Bimalendu Sinha Roy,AITC,MALE,63,50.07,196546,90.68,21.5,1071.0,,
78,tehatta,nadia,GEN,286619,147466,139152,29223,99755,5265,177463,109156,70416,97370,86739,24522,38574,3612,20030,944.0,10.2,34.8,1.84,68.95,65.63,33.97,64.8,20.57,252454,86.47,1726,216373,8,1 Tapas Kumar Saha,AITC,MALE,61,44.86,199458,88.44,21.5,1071.0,,
79,palashipara,nadia,GEN,300392,154150,146242,35980,45305,3258,177598,122794,70180,93835,79113,27451,35633,1315,14712,949.0,11.98,15.08,1.08,67.17,64.65,31.24,67.23,15.68,244867,83.13,1649,201731,9,1 Dr. Manik Bhattacharya,AITC,MALE,66,54.22,185525,86.07,21.5,1071.0,,
80,kaliganj,nadia,GEN,318861,163747,155114,39871,46534,1306,184868,133993,74436,98811,83886,19235,38760,2895,22994,947.0,12.5,14.59,0.41,66.26,63.29,30.99,58.69,23.27,248358,84.38,2044,207328,9,1 NASIRUDDIN AHAMED (LAL),AITC,MALE,67,53.35,186279,84.06,21.5,1071.0,,
81,nakashipara,nadia,GEN,290085,148761,141324,33930,76612,9661,166254,123831,69028,95315,78810,15538,33680,4824,24767,950.0,11.7,26.41,3.33,64.9,60.56,32.86,51.64,25.98,247691,84.67,1135,208424,9,1 Kallol Khan,AITC,MALE,67,50.01,187228,87.53,21.5,1071.0,,
82,chapra,nadia,GEN,302512,155581,146930,36796,48816,2021,181875,120636,67800,96136,77304,24183,34164,1618,17337,944.0,12.16,16.14,0.67,68.45,66.28,31.78,60.69,18.03,248014,86.11,2016,211152,8,1 RUKBANUR RAHMAN,AITC,MALE,52,34.65,186756,88.0,21.5,1071.0,,
83,krishnanagar uttar,nadia,GEN,279256,142330,136926,24123,80085,6801,208116,71140,68140,99000,89321,8965,15113,3038,62203,962.0,8.64,28.68,2.44,81.57,78.2,35.45,24.32,62.83,238220,85.01,1823,199954,8,1 MUKUL ROY,BJP,MALE,67,54.19,200975,84.9,21.5,1071.0,,
84,nabadwip,nadia,GEN,298163,154399,143764,28796,43140,3172,205916,92247,72146,119948,106287,7262,11986,19365,67673,931.0,9.66,14.47,1.06,76.44,71.23,40.23,16.05,56.42,243159,86.84,2760,208245,7,1 PUNDARIKAKSHYA SAHA,AITC,MALE,66,48.52,200147,87.99,21.5,1071.0,,
